product_id,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level_product,safety_stock_product,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date,branch_id,opening_stock,reorder_level_inventory,safety_stock_inventory,max_stock,current_stock,warehouse_bin,total_quantity_sold,total_sales_value,stock_to_sales_ratio,average_selling_price,stock_to_max_ratio,unit_margin,inventory_cost_value,inventory_retail_value,demand_level,overstock_flag,last_purchase_date_year,last_purchase_date_month,last_purchase_date_month_name,last_purchase_date_quarter,missing_value_count,data_completeness_percentage
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,22.653061224489797,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15,DEL001,196,59,46,340,115928,C15,45389,1423399040.0,2.5540990107735353,31360.0,340.9647058823529,5550,2196835600,2840236000,Low Demand,Overstock,2019,3,March,1,0,100.0
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,22.653061224489797,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15,PUN001,198,70,43,349,109389,D16,45389,1423399040.0,2.410033267972416,31360.0,313.4355300859599,5550,2072921550,2680030500,Low Demand,Overstock,2019,3,March,1,0,100.0
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,22.653061224489797,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15,CHN001,187,62,44,311,99373,A11,45389,1423399040.0,2.189363061534733,31360.0,319.5273311897106,5550,1883118350,2434638500,Low Demand,Overstock,2019,3,March,1,0,100.0
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,22.653061224489797,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15,HYD001,226,71,65,417,108772,A10,45389,1423399040.0,2.3964396659983698,31360.0,260.84412470023983,5550,2061229400,2664914000,Low Demand,Overstock,2019,3,March,1,0,100.0
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,22.653061224489797,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15,KOL001,263,94,58,475,103808,F03,45389,1423399040.0,2.287073960651259,31360.0,218.54315789473685,5550,1967161600,2543296000,Low Demand,Overstock,2019,3,March,1,0,100.0
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,22.653061224489797,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15,AHM001,236,77,53,455,106714,C20,45389,1423399040.0,2.3510982837251317,31360.0,234.53626373626375,5550,2022230300,2614493000,Low Demand,Overstock,2019,3,March,1,0,100.0
P002,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.5,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,2019-07-22,DEL001,166,57,35,261,108628,A06,45342,38522563.2,2.3957478717304044,849.6,416.1992337164751,270,48882600,78212160,Low Demand,Overstock,2019,7,July,3,0,100.0
P002,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.5,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,2019-07-22,PUN001,113,41,27,180,101623,E01,45342,38522563.2,2.2412553482422477,849.6,564.5722222222222,270,45730350,73168560,Low Demand,Overstock,2019,7,July,3,0,100.0
P002,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.5,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,2019-07-22,CHN001,267,102,76,465,105885,B04,45342,38522563.2,2.335252084160381,849.6,227.70967741935485,270,47648250,76237200,Low Demand,Overstock,2019,7,July,3,0,100.0
P002,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.5,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,2019-07-22,HYD001,219,78,64,383,121013,A02,45342,38522563.2,2.668894181994619,849.6,315.9608355091384,270,54455850,87129360,Low Demand,Overstock,2019,7,July,3,0,100.0
