product_id,branch_id,warehouse_bins,current_stock,opening_stock,reorder_level,safety_stock,max_stock,stock_allocation_pct,products_in_warehouse,warehouses_holding_product,stock_status,warehouse_alignment
P001,DEL001,1,115928,196,59,46,340,18.0,30,6,Overstock,Highly Distributed
P001,PUN001,1,109389,198,70,43,349,16.99,30,6,Overstock,Highly Distributed
P001,HYD001,1,108772,226,71,65,417,16.89,30,6,Overstock,Highly Distributed
P001,AHM001,1,106714,236,77,53,455,16.57,30,6,Overstock,Highly Distributed
P001,KOL001,1,103808,263,94,58,475,16.12,30,6,Overstock,Highly Distributed
P001,CHN001,1,99373,187,62,44,311,15.43,30,6,Overstock,Highly Distributed
P002,HYD001,1,121013,219,78,64,383,18.47,30,6,Overstock,Highly Distributed
P002,AHM001,1,110279,102,36,27,179,16.84,30,6,Overstock,Highly Distributed
P002,DEL001,1,108628,166,57,35,261,16.58,30,6,Overstock,Highly Distributed
P002,KOL001,1,107584,288,105,73,511,16.42,30,6,Overstock,Highly Distributed
P002,CHN001,1,105885,267,102,76,465,16.17,30,6,Overstock,Highly Distributed
P002,PUN001,1,101623,113,41,27,180,15.51,30,6,Overstock,Highly Distributed
P003,PUN001,1,118139,218,72,44,359,18.17,30,6,Overstock,Highly Distributed
P003,KOL001,1,110093,234,80,52,386,16.93,30,6,Overstock,Highly Distributed
P003,CHN001,1,107840,191,62,39,365,16.59,30,6,Overstock,Highly Distributed
P003,HYD001,1,106658,272,95,72,422,16.41,30,6,Overstock,Highly Distributed
P003,DEL001,1,104884,113,44,31,190,16.13,30,6,Overstock,Highly Distributed
P003,AHM001,1,102501,238,82,48,475,15.77,30,6,Overstock,Highly Distributed
P004,DEL001,1,110145,172,57,35,267,17.24,30,6,Overstock,Highly Distributed
P004,KOL001,1,110042,115,44,33,187,17.22,30,6,Overstock,Highly Distributed
P004,HYD001,1,109943,193,62,49,363,17.21,30,6,Overstock,Highly Distributed
P004,PUN001,1,104859,171,55,37,265,16.41,30,6,Overstock,Highly Distributed
P004,CHN001,1,103984,171,58,41,339,16.28,30,6,Overstock,Highly Distributed
P004,AHM001,1,99909,273,104,77,430,15.64,30,6,Overstock,Highly Distributed
P005,CHN001,1,114267,172,68,40,336,17.34,30,6,Overstock,Highly Distributed
P005,HYD001,1,112865,178,62,51,341,17.13,30,6,Overstock,Highly Distributed
P005,DEL001,1,110862,242,94,63,463,16.83,30,6,Overstock,Highly Distributed
P005,PUN001,1,108488,262,89,76,436,16.47,30,6,Overstock,Highly Distributed
P005,AHM001,1,108136,106,37,29,175,16.41,30,6,Overstock,Highly Distributed
P005,KOL001,1,104202,215,83,43,357,15.82,30,6,Overstock,Highly Distributed
P006,PUN001,1,111016,210,69,43,356,17.15,30,6,Overstock,Highly Distributed
P006,CHN001,1,110681,119,41,31,181,17.1,30,6,Overstock,Highly Distributed
P006,HYD001,1,109564,275,84,62,472,16.93,30,6,Overstock,Highly Distributed
P006,KOL001,1,109176,105,33,28,181,16.87,30,6,Overstock,Highly Distributed
P006,AHM001,1,107359,170,62,43,291,16.59,30,6,Overstock,Highly Distributed
P006,DEL001,1,99358,131,43,26,234,15.35,30,6,Overstock,Highly Distributed
P007,DEL001,1,119439,205,79,59,383,18.18,30,6,Overstock,Highly Distributed
P007,HYD001,1,112543,298,93,61,548,17.13,30,6,Overstock,Highly Distributed
P007,PUN001,1,110464,231,72,58,459,16.82,30,6,Overstock,Highly Distributed
P007,CHN001,1,108692,230,77,46,434,16.55,30,6,Overstock,Highly Distributed
P007,AHM001,1,106222,146,50,38,267,16.17,30,6,Overstock,Highly Distributed
P007,KOL001,1,99463,273,93,62,438,15.14,30,6,Overstock,Highly Distributed
P008,AHM001,1,109281,259,85,57,430,17.49,30,6,Overstock,Highly Distributed
P008,CHN001,1,108381,265,104,75,477,17.35,30,6,Overstock,Highly Distributed
P008,DEL001,1,106667,298,116,69,572,17.08,30,6,Overstock,Highly Distributed
P008,HYD001,1,101753,270,93,75,467,16.29,30,6,Overstock,Highly Distributed
P008,KOL001,1,99461,135,43,30,262,15.92,30,6,Overstock,Highly Distributed
P008,PUN001,1,99151,86,33,17,147,15.87,30,6,Overstock,Highly Distributed
P009,CHN001,1,111456,226,89,53,387,17.64,30,6,Overstock,Highly Distributed
P009,PUN001,1,111320,186,56,37,345,17.62,30,6,Overstock,Highly Distributed
P009,KOL001,1,110547,104,35,25,201,17.49,30,6,Overstock,Highly Distributed
P009,DEL001,1,102816,147,57,32,261,16.27,30,6,Overstock,Highly Distributed
P009,HYD001,1,100071,282,101,82,436,15.84,30,6,Overstock,Highly Distributed
P009,AHM001,1,95731,183,61,44,333,15.15,30,6,Overstock,Highly Distributed
P010,AHM001,1,115149,128,43,27,245,17.41,30,6,Overstock,Highly Distributed
P010,PUN001,1,114565,159,48,45,267,17.33,30,6,Overstock,Highly Distributed
P010,CHN001,1,113425,120,44,29,191,17.15,30,6,Overstock,Highly Distributed
P010,HYD001,1,110225,171,62,46,307,16.67,30,6,Overstock,Highly Distributed
P010,DEL001,1,106895,133,43,37,220,16.17,30,6,Overstock,Highly Distributed
P010,KOL001,1,100989,179,61,46,294,15.27,30,6,Overstock,Highly Distributed
P011,DEL001,1,112300,243,85,64,369,17.27,30,6,Overstock,Highly Distributed
P011,CHN001,1,110667,155,50,32,233,17.02,30,6,Overstock,Highly Distributed
P011,KOL001,1,109669,300,113,68,582,16.86,30,6,Overstock,Highly Distributed
P011,PUN001,1,108691,86,31,20,138,16.71,30,6,Overstock,Highly Distributed
