product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,branch_name,city,state,region,warehouse_type,warehouse_capacity,service_center_available,manager_id,total_employees,avg_monthly_revenue,monthly_operational_cost,market_demand_index,stock_utilisation_pct,stock_vs_reorder,stock_vs_safety,stock_status
P001,DEL001,196,59,46,340,115928,C15,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,34096.470588235294,115869,115882,Overstock
P001,PUN001,198,70,43,349,109389,D16,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,31343.55300859599,109319,109346,Overstock
P001,CHN001,187,62,44,311,99373,A11,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,31952.73311897106,99311,99329,Overstock
P001,HYD001,226,71,65,417,108772,A10,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,26084.412470023984,108701,108707,Overstock
P001,KOL001,263,94,58,475,103808,F03,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,21854.315789473687,103714,103750,Overstock
P001,AHM001,236,77,53,455,106714,C20,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,23453.626373626375,106637,106661,Overstock
P002,DEL001,166,57,35,261,108628,A06,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,41619.92337164751,108571,108593,Overstock
P002,PUN001,113,41,27,180,101623,E01,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,56457.22222222222,101582,101596,Overstock
P002,CHN001,267,102,76,465,105885,B04,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,22770.967741935485,105783,105809,Overstock
P002,HYD001,219,78,64,383,121013,A02,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,31596.08355091384,120935,120949,Overstock
P002,KOL001,288,105,73,511,107584,F18,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,21053.62035225049,107479,107511,Overstock
P002,AHM001,102,36,27,179,110279,E04,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,61608.37988826816,110243,110252,Overstock
P003,DEL001,113,44,31,190,104884,B07,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,55202.1052631579,104840,104853,Overstock
P003,PUN001,218,72,44,359,118139,F09,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,32907.79944289694,118067,118095,Overstock
P003,CHN001,191,62,39,365,107840,C09,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,29545.205479452055,107778,107801,Overstock
P003,HYD001,272,95,72,422,106658,E12,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,25274.407582938387,106563,106586,Overstock
P003,KOL001,234,80,52,386,110093,D02,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,28521.50259067358,110013,110041,Overstock
P003,AHM001,238,82,48,475,102501,C06,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,21579.15789473684,102419,102453,Overstock
P004,DEL001,172,57,35,267,110145,A14,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,41252.808988764045,110088,110110,Overstock
P004,PUN001,171,55,37,265,104859,E16,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,39569.43396226415,104804,104822,Overstock
