so_id,line_number,product_id,quantity,unit_price,gst_rate,line_total,gst_amount,line_grand_total,customer_id,branch_id,order_date,delivery_date,order_status,payment_terms,total_order_value,total_gst_amount,grand_total,sales_channel
SO-990591,1,P018,19,11300,28,214700,60116.00000000001,274816.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,2,P026,2,310,18,620,111.6,731.6,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,3,P026,3,310,18,930,167.4,1097.4,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,4,P013,9,1450,18,13050,2349.0,15399.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,5,P004,3,39800,28,119400,33432.0,152832.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,6,P001,9,24500,28,220500,61740.00000000001,282240.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,7,P021,3,46200,28,138600,38808.00000000001,177408.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,8,P010,11,34900,28,383900,107492.0,491392.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,9,P001,10,24500,28,245000,68600.0,313600.0,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,10,P026,16,310,18,4960,892.8,5852.8,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-990591,11,P008,7,580,18,4060,730.8,4790.8,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-431510,1,P015,13,119000,28,1547000,433160.00000000006,1980160.0,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-431510,2,P010,12,34900,28,418800,117264.0,536064.0,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-431510,3,P030,4,21900,28,87600,24528.000000000004,112128.0,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-431510,4,P023,5,12950,28,64750,18130.0,82880.0,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-431510,5,P005,3,8450,28,25350,7098.000000000001,32448.0,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-431510,6,P029,13,3950,18,51350,9243.0,60593.0,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-495859,1,P018,2,11300,28,22600,6328.000000000001,28928.0,C0013,AHM001,2023-10-01,2023-10-02,Delivered,Advance,2620800,733824.0000000001,3354624.0,Online
SO-495859,2,P021,3,46200,28,138600,38808.00000000001,177408.0,C0013,AHM001,2023-10-01,2023-10-02,Delivered,Advance,2620800,733824.0000000001,3354624.0,Online
SO-495859,3,P004,2,39800,28,79600,22288.000000000004,101888.0,C0013,AHM001,2023-10-01,2023-10-02,Delivered,Advance,2620800,733824.0000000001,3354624.0,Online
SO-495859,4,P015,20,119000,28,2380000,666400.0000000001,3046400.0,C0013,AHM001,2023-10-01,2023-10-02,Delivered,Advance,2620800,733824.0000000001,3354624.0,Online
SO-745068,1,P003,1,1250,18,1250,225.0,1475.0,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-745068,2,P019,10,39800,28,398000,111440.0,509440.0,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-745068,3,P025,12,7850,18,94200,16956.0,111156.0,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-745068,4,P011,7,27600,28,193200,54096.00000000001,247296.0,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-745068,5,P016,4,10200,18,40800,7344.0,48144.0,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-745068,6,P001,15,24500,28,367500,102900.0,470400.0,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-175713,1,P003,1,1250,18,1250,225.0,1475.0,C0472,CHN001,2024-10-31,2024-11-04,Delivered,Net 45,1250,225.0,1475.0,Counter Sale
SO-299557,1,P012,6,2450,28,14700,4116.0,18816.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,2,P025,5,7850,18,39250,7065.0,46315.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,3,P010,9,34900,28,314100,87948.00000000001,402048.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,4,P011,3,27600,28,82800,23184.000000000004,105984.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,5,P018,7,11300,28,79100,22148.000000000004,101248.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,6,P003,5,1250,18,6250,1125.0,7375.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,7,P022,4,16900,28,67600,18928.0,86528.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,8,P011,3,27600,28,82800,23184.000000000004,105984.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,9,P007,20,1450,18,29000,5220.0,34220.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,10,P006,6,11200,28,67200,18816.0,86016.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-299557,11,P030,2,21900,28,43800,12264.000000000002,56064.0,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-508292,1,P017,1,520,18,520,93.6,613.6,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,2,P010,4,34900,28,139600,39088.00000000001,178688.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,3,P008,4,580,18,2320,417.6,2737.6,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,4,P008,14,580,18,8120,1461.6,9581.6,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,5,P015,14,119000,28,1666000,466480.00000000006,2132480.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,6,P004,8,39800,28,318400,89152.00000000001,407552.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,7,P021,7,46200,28,323400,90552.0,413952.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,8,P024,15,10300,28,154500,43260.00000000001,197760.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,9,P001,20,24500,28,490000,137200.0,627200.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-508292,10,P029,4,3950,18,15800,2844.0,18644.0,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-527363,1,P005,12,8450,28,101400,28392.000000000004,129792.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,2,P001,17,24500,28,416500,116620.0,533120.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,3,P023,15,12950,28,194250,54390.00000000001,248640.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,4,P005,13,8450,28,109850,30758.000000000004,140608.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,5,P010,16,34900,28,558400,156352.00000000003,714752.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,6,P006,2,11200,28,22400,6272.000000000001,28672.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,7,P019,20,39800,28,796000,222880.00000000003,1018880.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,8,P019,8,39800,28,318400,89152.00000000001,407552.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-527363,9,P022,7,16900,28,118300,33124.0,151424.0,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-720172,1,P001,16,24500,28,392000,109760.0,501760.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,2,P017,18,520,18,9360,1684.8,11044.8,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,3,P016,13,10200,18,132600,23868.0,156468.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,4,P025,10,7850,18,78500,14130.0,92630.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,5,P028,4,2250,18,9000,1620.0,10620.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,6,P003,15,1250,18,18750,3375.0,22125.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
