product_id,total_quantity_sold,total_sales_value,sales_contribution_percentage,cumulative_sales_percentage,abc_class,product_name,category,brand
P015,45222,6888215040.0,21.243692155467265,21.243692155467265,A,Engine Block EB-600,Engine,Komatsu
P014,45035,4813340800.0,14.844648374181787,36.08834052964905,A,Transmission Assembly TA-800,Transmission,Volvo
P021,46364,2741781504.0,8.455828090484532,44.54416862013358,A,Boom Cylinder BC-400,Hydraulic,Komatsu
P019,45971,2341946624.0,7.2227119559832795,51.76688057611686,A,Swing Motor SWM-350,Hydraulic,Volvo
P004,45575,2321772800.0,7.160494602987491,58.92737517910435,A,Track Chain TC-45,Undercarriage,Volvo
P010,46964,2097975808.0,6.470290482506437,65.39766566161079,A,Turbocharger TB-900,Engine,CAT
P011,46612,1646708736.0,5.078554205140294,70.47621986675108,A,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi
P001,45389,1423399040.0,4.389852936436148,74.86607280318722,A,Hydraulic Pump HP-300,Hydraulic,CAT
P030,45897,1286584704.0,3.9679088450335276,78.83398164822076,A,Fuel Pump FP-350,Engine,Volvo
P022,45819,991156608.0,3.056789855708271,81.89077150392903,B,Control Valve CV-75,Hydraulic,CAT
P009,44946,857210112.0,2.643690364794653,84.53446186872368,B,Starter Motor SM-700,Electrical,Volvo
P023,44437,736587712.0,2.2716832311942428,86.80614509991793,B,Idler Wheel IW-55,Undercarriage,Volvo
P006,46731,669935616.0,2.066123938878559,88.87226903879649,B,Alternator ALT-500,Electrical,CAT
P018,45027,651270528.0,2.008559623417422,90.88082866221391,B,Wheel Rim WR-24,Undercarriage,CAT
P024,44022,580386048.0,1.7899473903532848,92.6707760525672,B,Track Roller TR-60,Undercarriage,Tata Hitachi
P016,46306,557339016.0,1.7188688816159612,94.38964493418317,B,Radiator RD-250,Cooling,JCB
P005,45026,487001216.0,1.5019426443519133,95.89158757853508,C,Fuel Injector FI-220,Engine,Tata Hitachi
P025,45598,422374274.0,1.3026290554432198,97.1942166339783,C,Cabin Glass CG-20,Cabin,JCB
P029,47066,219374626.0,0.6765652631925912,97.87078189717089,C,Pressure Sensor PS-90,Sensors,CAT
P012,45972,144168192.0,0.44462384981789105,98.31540574698877,C,Brake Pad BP-40,Brakes,JCB
P028,46164,122565420.0,0.3779995305410138,98.69340527752979,C,Light Assembly LA-18,Electrical,Generic
P007,46468,79506748.0,0.24520385455247237,98.93860913208226,C,Hydraulic Hose HH-60,Hydraulic,JCB
P013,44081,75422591.0,0.23260805527519016,99.17121718735746,C,Seal Kit SK-15,Seals,CAT
P003,45684,67383900.0,0.20781622227560287,99.37903340963305,C,Air Filter AF-120,Filters,Komatsu
P020,45340,61526380.0,0.18975125900835668,99.56878466864141,C,Pivot Pin PP-12,Pins & Bushes,JCB
P002,45342,38522563.2,0.11880602868930353,99.68759069733072,C,Engine Oil Filter OF-90,Filters,JCB
P008,45376,31055334.4,0.09577662136672967,99.78336731869744,C,Bucket Tooth BT-10,Attachments,Komatsu
P017,45578,27966660.8,0.08625095604616517,99.86961827474362,C,Fan Belt FB-30,Belts,Tata Hitachi
P027,45678,25872019.2,0.07979094847264502,99.94940922321626,C,O-Ring Set OR-50,Seals,Generic
P026,44844,16403935.2,0.050590776783738925,100.0,C,Grease Cartridge GC-5,Lubricants,Generic
