product_id,total_quantity_sold,total_sales_value,product_name,category,unit_cost,current_stock,cost_of_goods_sold,inventory_turnover_ratio
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,31200,88853,1434295200,0.5173826432422091
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,2750,97606,129431500,0.482203962871135
P016,46306,557339016.0,Radiator RD-250,Cooling,7800,97829,361186800,0.47333612732420854
P006,46731,669935616.0,Alternator ALT-500,Electrical,8650,99358,404223150,0.47032951548944224
P009,44946,857210112.0,Starter Motor SM-700,Electrical,11450,95731,514631700,0.4695030867743991
P015,45222,6888215040.0,Engine Block EB-600,Engine,95500,96547,4318701000,0.468393632117
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,5600,97512,255348800,0.46761424234965954
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,980,99463,45538640,0.4671888038768185
P027,45678,25872019.2,O-Ring Set OR-50,Seals,260,97973,11876280,0.466230492074347
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,35600,99466,1650558400,0.46612912955180663
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,8200,96607,369221400,0.4660842382022007
P010,46964,2097975808.0,Turbocharger TB-900,Engine,28900,100989,1357259600,0.46504074701205084
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,2750,101572,129431500,0.4633757334698539
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,21500,101291,1002158000,0.4601790879742524
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,35600,100829,1650558400,0.45982802566721875
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,31200,100008,1434295200,0.45967322614190864
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,35600,100867,1650558400,0.4596547929451654
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,12800,99690,586483200,0.4596148058982847
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,31200,100413,1434295200,0.45781920667642634
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,340,99151,15427840,0.45764540952688326
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,18950,99373,860121550,0.4567538466182967
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,340,99461,15427840,0.4562190205206061
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,32500,99909,1481187500,0.4561651102503278
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,750,99570,34005000,0.45535803957015164
P028,46164,122565420.0,Light Assembly LA-18,Electrical,1450,101538,66937800,0.45464752112509604
P027,45678,25872019.2,O-Ring Set OR-50,Seals,260,100477,11876280,0.4546115031300696
P028,46164,122565420.0,Light Assembly LA-18,Electrical,1450,102248,66937800,0.4514904937015883
P016,46306,557339016.0,Radiator RD-250,Cooling,7800,103006,361186800,0.4495466283517465
P009,44946,857210112.0,Starter Motor SM-700,Electrical,11450,100071,514631700,0.4491411098120335
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,2750,105010,129431500,0.4482049328635368
P015,45222,6888215040.0,Engine Block EB-600,Engine,95500,100967,4318701000,0.447888914199689
P013,44081,75422591.0,Seal Kit SK-15,Seals,950,98687,41876950,0.4466748406578374
P028,46164,122565420.0,Light Assembly LA-18,Electrical,1450,103464,66937800,0.4461841800046393
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,450,101623,20403900,0.4461785225785501
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,340,101753,15427840,0.44594262577024757
P003,45684,67383900.0,Air Filter AF-120,Filters,820,102501,37460880,0.4456932127491439
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,16400,103131,752710800,0.4450359251825348
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,16400,103248,752710800,0.4445316132031613
P016,46306,557339016.0,Radiator RD-250,Cooling,7800,104189,361186800,0.44444231156839975
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,8200,101420,369221400,0.4439656872411753
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,16400,103465,752710800,0.44359928478229355
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,12800,103495,586483200,0.44271703947050584
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,180,101412,8071920,0.4421961898000237
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,750,102636,34005000,0.4417553295140107
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,750,102706,34005000,0.44145424804782585
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,750,102734,34005000,0.4413339303443845
P028,46164,122565420.0,Light Assembly LA-18,Electrical,1450,104851,66937800,0.4402819238729244
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,35600,105385,1650558400,0.4399487593110974
P010,46964,2097975808.0,Turbocharger TB-900,Engine,28900,106895,1357259600,0.43934702277936294
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,16400,104611,752710800,0.4387397118849834
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,32500,103984,1481187500,0.4382885828589014
P028,46164,122565420.0,Light Assembly LA-18,Electrical,1450,105401,66937800,0.4379844593504805
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,980,106222,45538640,0.43746116623674947
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,18950,103808,860121550,0.43723990443896427
P009,44946,857210112.0,Starter Motor SM-700,Electrical,11450,102816,514631700,0.4371498599439776
P016,46306,557339016.0,Radiator RD-250,Cooling,7800,106040,361186800,0.4366842700867597
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,31200,105387,1434295200,0.43621129740859876
P027,45678,25872019.2,O-Ring Set OR-50,Seals,260,104746,11876280,0.4360834781280431
P003,45684,67383900.0,Air Filter AF-120,Filters,820,104884,37460880,0.43556691201708553
P006,46731,669935616.0,Alternator ALT-500,Electrical,8650,107359,404223150,0.4352778993843087
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,16400,105447,752710800,0.43526131611141144
P017,45578,27966660.8,Fan Belt FB-30,Belts,320,104847,14584960,0.4347096245004626
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,32500,104859,1481187500,0.4346312667486816
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,750,104360,34005000,0.43445764660789576
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,2750,108622,129431500,0.43330080462521403
P012,45972,144168192.0,Brake Pad BP-40,Brakes,1800,106209,82749600,0.4328446741801542
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,180,103678,8071920,0.43253149173402267
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,21500,107771,1002158000,0.4325096732887326
P028,46164,122565420.0,Light Assembly LA-18,Electrical,1450,106744,66937800,0.43247395638162334
P005,45026,487001216.0,Fuel Injector FI-220,Engine,6350,104202,285915100,0.43210303065200284
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,180,103793,8071920,0.4320522578593932
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,7400,101998,325762800,0.4315966979744701
P012,45972,144168192.0,Brake Pad BP-40,Brakes,1800,106861,82749600,0.43020372259290107
P015,45222,6888215040.0,Engine Block EB-600,Engine,95500,105135,4318701000,0.4301326865458696
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,2750,109429,129431500,0.4301053651225909
P017,45578,27966660.8,Fan Belt FB-30,Belts,320,106266,14584960,0.4289048237441891
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,21500,108691,1002158000,0.4288487547267023
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,35600,108168,1650558400,0.42862953923526365
P003,45684,67383900.0,Air Filter AF-120,Filters,820,106658,37460880,0.42832230118697145
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,450,105885,20403900,0.4282192945176371
P006,46731,669935616.0,Alternator ALT-500,Electrical,8650,109176,404223150,0.4280336337656628
P027,45678,25872019.2,O-Ring Set OR-50,Seals,260,106775,11876280,0.42779676890657925
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,980,108692,45538640,0.42751996467081294
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,68500,105345,3084897500,0.4275001186577436
P006,46731,669935616.0,Alternator ALT-500,Electrical,8650,109564,404223150,0.4265178343251433
P015,45222,6888215040.0,Engine Block EB-600,Engine,95500,106048,4318701000,0.4264295413397707
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,180,105190,8071920,0.42631428843045915
P012,45972,144168192.0,Brake Pad BP-40,Brakes,1800,107886,82749600,0.4261164562593849
P010,46964,2097975808.0,Turbocharger TB-900,Engine,28900,110225,1357259600,0.42607393966885915
