product_id,total_quantity_sold,total_sales_value,product_name,category,brand,usage_frequency,current_stock,reorder_level,safety_stock,max_stock,stock_to_sales_ratio
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,Medium,112198,58,38,242,2.5486802053518693
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,Medium,107810,104,58,425,2.449002771341602
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,Medium,110555,41,31,232,2.511357957384944
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,Medium,116412,99,56,469,2.644405070192177
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,Medium,101998,86,66,415,2.316977874699014
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,Medium,107215,44,27,204,2.4354868020535188
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,High,105381,44,26,233,2.3906218098500487
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,High,98687,25,22,150,2.2387650007939928
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,High,106476,56,45,307,2.4154624441369297
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,High,111295,86,52,412,2.5247839205099702
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,High,108520,48,27,249,2.4618316281391075
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,High,104221,25,16,133,2.36430661736349
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,Medium,107267,53,40,231,2.4139118302315636
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,Medium,105798,31,16,134,2.380853793010329
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,Medium,108328,40,26,198,2.437788329545199
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,Medium,113718,73,49,313,2.5590836465107905
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,Medium,114558,90,50,434,2.5779868127911425
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,Medium,111851,49,30,273,2.51706910907577
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,High,108348,75,54,314,2.4161091784854163
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,High,108895,36,33,181,2.4283070198911783
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,High,103678,28,22,186,2.311970386227812
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,High,105190,36,33,189,2.3456872714298456
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,High,101412,74,59,445,2.2614396574792615
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,High,103793,89,65,445,2.3145348318615646
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,Medium,111456,89,53,387,2.4797757308770523
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,Medium,100071,101,82,436,2.226471766119343
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,Medium,102816,57,32,261,2.287545054064878
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,Medium,111320,56,37,345,2.476749877630935
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,Medium,110547,35,25,201,2.459551461754105
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,Medium,95731,61,44,333,2.1299114492947093
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,Medium,114267,68,40,336,2.5378003820015103
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,Medium,112865,62,51,341,2.506662817039044
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,Medium,110862,94,63,463,2.4621774086083597
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,Medium,108488,89,76,436,2.4094523164393906
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,Medium,104202,83,43,357,2.3142628703415804
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,Medium,108136,37,29,175,2.401634611113579
