product_id,total_quantity_sold,total_sales_value,sales_contribution_pct,cumulative_contribution_pct,abc_category,sales_rank,pareto_group
P015,45222,5381418000,21.15,21.15,A,1,High Value
P014,45035,3760422500,14.78,35.93,A,2,High Value
P021,46364,2142016800,8.42,44.35,A,3,High Value
P019,45971,1829645800,7.19,51.54,A,4,High Value
P004,45575,1813885000,7.13,58.67,A,5,High Value
P010,46964,1639043600,6.44,65.11,A,6,High Value
P011,46612,1286491200,5.06,70.17,A,7,High Value
P001,45389,1112030500,4.37,74.54,A,8,High Value
P030,45897,1005144300,3.95,78.49,A,9,High Value
P022,45819,774341100,3.04,81.53,B,10,Medium Value
P009,44946,669695400,2.63,84.16,B,11,Medium Value
P023,44437,575459150,2.26,86.42,B,12,Medium Value
P006,46731,523387200,2.06,88.48,B,13,Medium Value
P018,45027,508805100,2.0,90.48,B,14,Medium Value
P016,46306,472321200,1.86,92.34,B,15,Medium Value
P024,44022,453426600,1.78,94.12,B,16,Medium Value
P005,45026,380469700,1.5,95.62,C,17,Low Value
P025,45598,357944300,1.41,97.03,C,18,Low Value
P029,47066,185910700,0.73,97.76,C,19,Low Value
P012,45972,112631400,0.44,98.2,C,20,Low Value
P028,46164,103869000,0.41,98.61,C,21,Low Value
P007,46468,67378600,0.26,98.87,C,22,Low Value
P013,44081,63917450,0.25,99.12,C,23,Low Value
P003,45684,57105000,0.22,99.34,C,24,Low Value
P020,45340,52141000,0.2,99.54,C,25,Low Value
P002,45342,32646240,0.13,99.67,C,26,Low Value
P008,45376,26318080,0.1,99.77,C,27,Low Value
P017,45578,23700560,0.09,99.86,C,28,Low Value
P027,45678,21925440,0.09,99.95,C,29,Low Value
P026,44844,13901640,0.05,100.0,C,30,Low Value
