product_id,total_quantity_sold,sales_order_lines,average_quantity_per_order,fast_moving_rank,movement_category
P029,47066,4394,10.71,1,Fast Moving
P010,46964,4434,10.59,2,Fast Moving
P006,46731,4440,10.52,3,Fast Moving
P011,46612,4462,10.45,4,Fast Moving
P007,46468,4403,10.55,5,Fast Moving
P021,46364,4370,10.61,6,Fast Moving
P016,46306,4437,10.44,7,Fast Moving
P028,46164,4403,10.48,8,Fast Moving
P012,45972,4407,10.43,9,Fast Moving
P019,45971,4364,10.53,10,Fast Moving
P030,45897,4324,10.61,11,Moderate Moving
P022,45819,4369,10.49,12,Moderate Moving
P003,45684,4364,10.47,13,Moderate Moving
P027,45678,4335,10.54,14,Moderate Moving
P025,45598,4352,10.48,15,Moderate Moving
P017,45578,4434,10.28,16,Moderate Moving
P004,45575,4293,10.62,17,Moderate Moving
P001,45389,4347,10.44,18,Moderate Moving
P008,45376,4322,10.5,19,Moderate Moving
P002,45342,4346,10.43,20,Moderate Moving
P020,45340,4316,10.51,21,Slow Moving
P015,45222,4268,10.6,22,Slow Moving
P014,45035,4319,10.43,23,Slow Moving
P018,45027,4308,10.45,24,Slow Moving
P005,45026,4324,10.41,25,Slow Moving
P009,44946,4257,10.56,26,Slow Moving
P026,44844,4331,10.35,27,Slow Moving
P023,44437,4221,10.53,28,Slow Moving
P013,44081,4239,10.4,29,Slow Moving
P024,44022,4219,10.43,30,Slow Moving
