product_id,average_inventory,total_inventory,total_quantity_sold,inventory_turnover_ratio,turnover_category,turnover_rank
P008,104115.66666666667,624694,45376,0.44,Low Turnover,1
P030,105381.66666666667,632290,45897,0.44,Low Turnover,1
P019,103708.16666666667,622249,45971,0.44,Low Turnover,1
P020,104211.0,625266,45340,0.44,Low Turnover,1
P021,105102.83333333333,630617,46364,0.44,Low Turnover,1
P016,105660.0,633960,46306,0.44,Low Turnover,1
P028,104041.0,624246,46164,0.44,Low Turnover,1
P029,105829.66666666667,634978,47066,0.44,Low Turnover,1
P015,105430.5,632583,45222,0.43,Low Turnover,2
P006,107859.0,647154,46731,0.43,Low Turnover,2
P011,108398.16666666667,650389,46612,0.43,Low Turnover,2
P010,110208.0,661248,46964,0.43,Low Turnover,2
P009,105323.5,631941,44946,0.43,Low Turnover,2
P004,106480.33333333333,638882,45575,0.43,Low Turnover,2
P027,105165.16666666667,630991,45678,0.43,Low Turnover,2
P026,105219.33333333333,631316,44844,0.43,Low Turnover,2
P012,110517.83333333333,663107,45972,0.42,Low Turnover,3
P013,105763.33333333333,634580,44081,0.42,Low Turnover,3
P002,109168.66666666667,655012,45342,0.42,Low Turnover,3
P001,107330.66666666667,643984,45389,0.42,Low Turnover,3
P003,108352.5,650115,45684,0.42,Low Turnover,3
P007,109470.5,656823,46468,0.42,Low Turnover,3
P025,108630.16666666667,651781,45598,0.42,Low Turnover,3
P022,107891.33333333333,647348,45819,0.42,Low Turnover,3
P018,108409.16666666667,650455,45027,0.42,Low Turnover,3
P005,109803.33333333333,658820,45026,0.41,Low Turnover,4
P014,110277.16666666667,661663,45035,0.41,Low Turnover,4
P017,109844.33333333333,659066,45578,0.41,Low Turnover,4
P023,110253.33333333333,661520,44437,0.4,Low Turnover,5
P024,109364.66666666667,656188,44022,0.4,Low Turnover,5
