product_id,branch_id,opening_stock,current_stock,reorder_level,safety_stock,max_stock,warehouse_bin,reorder_gap,safety_stock_gap,overstock_quantity,stock_status,risk_level,recommended_action,stock_utilisation_pct,risk_rank
P019,KOL001,92,88853,30,22,141,E11,-88823,-88831,88712,Overstock,Medium Risk,Reduce Inventory,63016.31,2
P009,AHM001,183,95731,61,44,333,B15,-95670,-95687,95398,Overstock,Medium Risk,Reduce Inventory,28748.05,2
P015,KOL001,292,96547,116,81,508,B18,-96431,-96466,96039,Overstock,Medium Risk,Reduce Inventory,19005.31,2
P018,KOL001,161,96607,59,42,284,B03,-96548,-96565,96323,Overstock,Medium Risk,Reduce Inventory,34016.55,2
P025,AHM001,165,97512,64,44,328,F08,-97448,-97468,97184,Overstock,Medium Risk,Reduce Inventory,29729.27,2
P029,AHM001,140,97606,49,40,267,D10,-97557,-97566,97339,Overstock,Medium Risk,Reduce Inventory,36556.55,2
P016,KOL001,148,97829,49,32,277,D04,-97780,-97797,97552,Overstock,Medium Risk,Reduce Inventory,35317.33,2
P027,CHN001,84,97973,33,19,133,F12,-97940,-97954,97840,Overstock,Medium Risk,Reduce Inventory,73663.91,2
P013,AHM001,84,98687,25,22,150,E04,-98662,-98665,98537,Overstock,Medium Risk,Reduce Inventory,65791.33,2
P008,PUN001,86,99151,33,17,147,D12,-99118,-99134,99004,Overstock,Medium Risk,Reduce Inventory,67449.66,2
P006,DEL001,131,99358,43,26,234,B09,-99315,-99332,99124,Overstock,Medium Risk,Reduce Inventory,42460.68,2
P001,CHN001,187,99373,62,44,311,A11,-99311,-99329,99062,Overstock,Medium Risk,Reduce Inventory,31952.73,2
P008,KOL001,135,99461,43,30,262,D04,-99418,-99431,99199,Overstock,Medium Risk,Reduce Inventory,37962.21,2
P007,KOL001,273,99463,93,62,438,C03,-99370,-99401,99025,Overstock,Medium Risk,Reduce Inventory,22708.45,2
P021,HYD001,153,99466,56,36,263,F08,-99410,-99430,99203,Overstock,Medium Risk,Reduce Inventory,37819.77,2
P020,KOL001,182,99570,61,53,355,D07,-99509,-99517,99215,Overstock,Medium Risk,Reduce Inventory,28047.89,2
P022,KOL001,265,99690,105,65,513,A01,-99585,-99625,99177,Overstock,Medium Risk,Reduce Inventory,19432.75,2
P004,AHM001,273,99909,104,77,430,C08,-99805,-99832,99479,Overstock,Medium Risk,Reduce Inventory,23234.65,2
P019,HYD001,209,100008,81,49,350,D17,-99927,-99959,99658,Overstock,Medium Risk,Reduce Inventory,28573.71,2
P009,HYD001,282,100071,101,82,436,D03,-99970,-99989,99635,Overstock,Medium Risk,Reduce Inventory,22952.06,2
P019,CHN001,287,100413,86,66,566,D20,-100327,-100347,99847,Overstock,Medium Risk,Reduce Inventory,17740.81,2
P027,KOL001,210,100477,79,54,385,F20,-100398,-100423,100092,Overstock,Medium Risk,Reduce Inventory,26097.92,2
P021,KOL001,280,100829,102,69,485,C14,-100727,-100760,100344,Overstock,Medium Risk,Reduce Inventory,20789.48,2
P021,CHN001,189,100867,71,40,319,C11,-100796,-100827,100548,Overstock,Medium Risk,Reduce Inventory,31619.75,2
P015,DEL001,223,100967,75,60,387,E12,-100892,-100907,100580,Overstock,Medium Risk,Reduce Inventory,26089.66,2
P010,KOL001,179,100989,61,46,294,A13,-100928,-100943,100695,Overstock,Medium Risk,Reduce Inventory,34350.0,2
P011,AHM001,211,101291,66,50,410,D13,-101225,-101241,100881,Overstock,Medium Risk,Reduce Inventory,24705.12,2
P026,KOL001,240,101412,74,59,445,A06,-101338,-101353,100967,Overstock,Medium Risk,Reduce Inventory,22789.21,2
P018,AHM001,262,101420,89,64,438,F08,-101331,-101356,100982,Overstock,Medium Risk,Reduce Inventory,23155.25,2
P028,AHM001,212,101538,78,57,368,F04,-101460,-101481,101170,Overstock,Medium Risk,Reduce Inventory,27591.85,2
P029,CHN001,97,101572,33,27,173,F11,-101539,-101545,101399,Overstock,Medium Risk,Reduce Inventory,58712.14,2
