product_id,average_monthly_demand,total_demand,peak_monthly_demand,demand_months,first_month_demand,last_month_demand,demand_change_pct,demand_trend,demand_category,demand_rank
P029,653.69,47066,854,72,682,628,-7.92,Stable,Low Demand,1
P010,652.28,46964,925,72,743,413,-44.41,Decreasing,Low Demand,2
P006,649.04,46731,921,72,474,527,11.18,Increasing,Low Demand,3
P011,647.39,46612,898,72,747,630,-15.66,Decreasing,Low Demand,4
P007,645.39,46468,902,72,517,597,15.47,Increasing,Low Demand,5
P021,643.94,46364,924,72,707,545,-22.91,Decreasing,Low Demand,6
P016,643.14,46306,899,72,606,465,-23.27,Decreasing,Low Demand,7
P028,641.17,46164,914,72,650,672,3.38,Stable,Low Demand,8
P012,638.5,45972,849,72,609,571,-6.24,Stable,Low Demand,9
P019,638.49,45971,964,72,786,642,-18.32,Decreasing,Low Demand,10
P030,637.46,45897,877,72,525,507,-3.43,Stable,Low Demand,11
P022,636.38,45819,895,72,731,453,-38.03,Decreasing,Low Demand,12
P003,634.5,45684,973,72,537,559,4.1,Stable,Low Demand,13
P027,634.42,45678,891,72,534,646,20.97,Increasing,Low Demand,14
P025,633.31,45598,876,72,543,615,13.26,Increasing,Low Demand,15
P017,633.03,45578,905,72,671,461,-31.3,Decreasing,Low Demand,16
P004,632.99,45575,865,72,865,761,-12.02,Decreasing,Low Demand,17
P001,630.4,45389,860,72,513,718,39.96,Increasing,Low Demand,18
P008,630.22,45376,866,72,586,754,28.67,Increasing,Low Demand,19
P002,629.75,45342,892,72,513,710,38.4,Increasing,Low Demand,20
P020,629.72,45340,888,72,569,511,-10.19,Decreasing,Low Demand,21
P015,628.08,45222,882,72,756,633,-16.27,Decreasing,Low Demand,22
P014,625.49,45035,865,72,680,588,-13.53,Decreasing,Low Demand,23
P018,625.38,45027,848,72,721,485,-32.73,Decreasing,Low Demand,24
P005,625.36,45026,892,72,607,634,4.45,Stable,Low Demand,25
P009,624.25,44946,878,72,578,504,-12.8,Decreasing,Low Demand,26
P026,622.83,44844,855,72,558,677,21.33,Increasing,Low Demand,27
P023,617.18,44437,846,72,846,450,-46.81,Decreasing,Low Demand,28
P013,612.24,44081,959,72,563,698,23.98,Increasing,Low Demand,29
P024,611.42,44022,871,72,606,486,-19.8,Decreasing,Low Demand,30
