product_id,total_quantity_sold,sales_order_lines,total_sales_value,total_gst,total_grand_value,average_unit_price,average_sales_value,sales_contribution_pct,performance_rank,performance_category
P015,45222,4268,5381418000,1506797040.0000002,6888215040.0,119000.0,1260875.82,21.15,1,High Performer
P014,45035,4319,3760422500,1052918300.0000001,4813340800.0,83500.0,870669.72,14.78,2,High Performer
P021,46364,4370,2142016800,599764704.0000001,2741781504.0,46200.0,490164.03,8.42,3,High Performer
P019,45971,4364,1829645800,512300824.00000006,2341946624.0,39800.0,419258.89,7.19,4,High Performer
P004,45575,4293,1813885000,507887800.00000006,2321772800.0,39800.0,422521.55,7.13,5,High Performer
P010,46964,4434,1639043600,458932208.00000006,2097975808.0,34900.0,369653.5,6.44,6,High Performer
P011,46612,4462,1286491200,360217536.0,1646708736.0,27600.0,288321.65,5.06,7,High Performer
P001,45389,4347,1112030500,311368540.0,1423399040.0,24500.0,255815.62,4.37,8,High Performer
P030,45897,4324,1005144300,281440404.0,1286584704.0,21900.0,232457.05,3.95,9,High Performer
P022,45819,4369,774341100,216815508.00000003,991156608.0,16900.0,177235.32,3.04,10,High Performer
P009,44946,4257,669695400,187514712.00000003,857210112.0,14900.0,157316.28,2.63,11,Medium Performer
P023,44437,4221,575459150,161128562.00000003,736587712.0,12950.0,136332.42,2.26,12,Medium Performer
P006,46731,4440,523387200,146548416.00000003,669935616.0,11200.0,117880.0,2.06,13,Medium Performer
P018,45027,4308,508805100,142465428.00000003,651270528.0,11300.0,118107.03,2.0,14,Medium Performer
P016,46306,4437,472321200,85017816.0,557339016.0,10200.0,106450.57,1.86,15,Medium Performer
P024,44022,4219,453426600,126959448.00000001,580386048.0,10300.0,107472.53,1.78,16,Medium Performer
P005,45026,4324,380469700,106531516.00000001,487001216.0,8450.0,87990.22,1.5,17,Medium Performer
P025,45598,4352,357944300,64429974.0,422374274.0,7850.0,82248.23,1.41,18,Medium Performer
P029,47066,4394,185910700,33463926.0,219374626.0,3950.0,42310.13,0.73,19,Medium Performer
P012,45972,4407,112631400,31536792.000000004,144168192.0,2450.0,25557.39,0.44,20,Medium Performer
P028,46164,4403,103869000,18696420.0,122565420.0,2250.0,23590.51,0.41,21,Low Performer
P007,46468,4403,67378600,12128148.0,79506748.0,1450.0,15302.88,0.26,22,Low Performer
P013,44081,4239,63917450,11505141.0,75422591.0,1450.0,15078.43,0.25,23,Low Performer
P003,45684,4364,57105000,10278900.0,67383900.0,1250.0,13085.47,0.22,24,Low Performer
P020,45340,4316,52141000,9385380.0,61526380.0,1150.0,12080.86,0.2,25,Low Performer
P002,45342,4346,32646240,5876323.2,38522563.2,720.0,7511.79,0.13,26,Low Performer
P008,45376,4322,26318080,4737254.4,31055334.4,580.0,6089.33,0.1,27,Low Performer
P017,45578,4434,23700560,4266100.8,27966660.8,520.0,5345.19,0.09,28,Low Performer
P027,45678,4335,21925440,3946579.1999999997,25872019.2,480.0,5057.77,0.09,29,Low Performer
P026,44844,4331,13901640,2502295.2,16403935.2,310.0,3209.8,0.05,30,Low Performer
