product_id,total_quantity_sold,sales_order_lines,average_quantity_per_order,slow_moving_rank,movement_category,dead_stock,stock_risk
P024,44022,4219,10.43,1,Slow Moving,False,Medium Risk
P013,44081,4239,10.4,2,Slow Moving,False,Medium Risk
P023,44437,4221,10.53,3,Slow Moving,False,Medium Risk
P026,44844,4331,10.35,4,Slow Moving,False,Medium Risk
P009,44946,4257,10.56,5,Slow Moving,False,Medium Risk
P005,45026,4324,10.41,6,Slow Moving,False,Medium Risk
P018,45027,4308,10.45,7,Slow Moving,False,Medium Risk
P014,45035,4319,10.43,8,Slow Moving,False,Medium Risk
P015,45222,4268,10.6,9,Slow Moving,False,Medium Risk
P020,45340,4316,10.51,10,Slow Moving,False,Medium Risk
P002,45342,4346,10.43,11,Moderate Moving,False,Low Risk
P008,45376,4322,10.5,12,Moderate Moving,False,Low Risk
P001,45389,4347,10.44,13,Moderate Moving,False,Low Risk
P004,45575,4293,10.62,14,Moderate Moving,False,Low Risk
P017,45578,4434,10.28,15,Moderate Moving,False,Low Risk
P025,45598,4352,10.48,16,Moderate Moving,False,Low Risk
P027,45678,4335,10.54,17,Moderate Moving,False,Low Risk
P003,45684,4364,10.47,18,Moderate Moving,False,Low Risk
P022,45819,4369,10.49,19,Moderate Moving,False,Low Risk
P030,45897,4324,10.61,20,Moderate Moving,False,Low Risk
P019,45971,4364,10.53,21,Fast Moving,False,Low Risk
P012,45972,4407,10.43,22,Fast Moving,False,Low Risk
P028,46164,4403,10.48,23,Fast Moving,False,Low Risk
P016,46306,4437,10.44,24,Fast Moving,False,Low Risk
P021,46364,4370,10.61,25,Fast Moving,False,Low Risk
P007,46468,4403,10.55,26,Fast Moving,False,Low Risk
P011,46612,4462,10.45,27,Fast Moving,False,Low Risk
P006,46731,4440,10.52,28,Fast Moving,False,Low Risk
P010,46964,4434,10.59,29,Fast Moving,False,Low Risk
P029,47066,4394,10.71,30,Fast Moving,False,Low Risk
