product_id,branch_id,opening_stock,current_stock,reorder_level,safety_stock,max_stock,warehouse_bin,reorder_gap,safety_stock_gap,max_stock_gap,stock_utilisation_pct,stock_health_status,risk_level,stock_health_score,risk_rank
P001,DEL001,196,115928,59,46,340,C15,115869,115882,-115588,34096.47,Overstock,Medium Risk,50,2
P001,PUN001,198,109389,70,43,349,D16,109319,109346,-109040,31343.55,Overstock,Medium Risk,50,2
P001,CHN001,187,99373,62,44,311,A11,99311,99329,-99062,31952.73,Overstock,Medium Risk,50,2
P001,HYD001,226,108772,71,65,417,A10,108701,108707,-108355,26084.41,Overstock,Medium Risk,50,2
P001,KOL001,263,103808,94,58,475,F03,103714,103750,-103333,21854.32,Overstock,Medium Risk,50,2
P001,AHM001,236,106714,77,53,455,C20,106637,106661,-106259,23453.63,Overstock,Medium Risk,50,2
P002,DEL001,166,108628,57,35,261,A06,108571,108593,-108367,41619.92,Overstock,Medium Risk,50,2
P002,PUN001,113,101623,41,27,180,E01,101582,101596,-101443,56457.22,Overstock,Medium Risk,50,2
P002,CHN001,267,105885,102,76,465,B04,105783,105809,-105420,22770.97,Overstock,Medium Risk,50,2
P002,HYD001,219,121013,78,64,383,A02,120935,120949,-120630,31596.08,Overstock,Medium Risk,50,2
P002,KOL001,288,107584,105,73,511,F18,107479,107511,-107073,21053.62,Overstock,Medium Risk,50,2
P002,AHM001,102,110279,36,27,179,E04,110243,110252,-110100,61608.38,Overstock,Medium Risk,50,2
P003,DEL001,113,104884,44,31,190,B07,104840,104853,-104694,55202.11,Overstock,Medium Risk,50,2
P003,PUN001,218,118139,72,44,359,F09,118067,118095,-117780,32907.8,Overstock,Medium Risk,50,2
P003,CHN001,191,107840,62,39,365,C09,107778,107801,-107475,29545.21,Overstock,Medium Risk,50,2
P003,HYD001,272,106658,95,72,422,E12,106563,106586,-106236,25274.41,Overstock,Medium Risk,50,2
P003,KOL001,234,110093,80,52,386,D02,110013,110041,-109707,28521.5,Overstock,Medium Risk,50,2
P003,AHM001,238,102501,82,48,475,C06,102419,102453,-102026,21579.16,Overstock,Medium Risk,50,2
P004,DEL001,172,110145,57,35,267,A14,110088,110110,-109878,41252.81,Overstock,Medium Risk,50,2
P004,PUN001,171,104859,55,37,265,E16,104804,104822,-104594,39569.43,Overstock,Medium Risk,50,2
P004,CHN001,171,103984,58,41,339,A15,103926,103943,-103645,30673.75,Overstock,Medium Risk,50,2
P004,HYD001,193,109943,62,49,363,D18,109881,109894,-109580,30287.33,Overstock,Medium Risk,50,2
P004,KOL001,115,110042,44,33,187,B06,109998,110009,-109855,58845.99,Overstock,Medium Risk,50,2
P004,AHM001,273,99909,104,77,430,C08,99805,99832,-99479,23234.65,Overstock,Medium Risk,50,2
P005,DEL001,242,110862,94,63,463,E03,110768,110799,-110399,23944.28,Overstock,Medium Risk,50,2
P005,PUN001,262,108488,89,76,436,B10,108399,108412,-108052,24882.57,Overstock,Medium Risk,50,2
P005,CHN001,172,114267,68,40,336,E05,114199,114227,-113931,34008.04,Overstock,Medium Risk,50,2
P005,HYD001,178,112865,62,51,341,C13,112803,112814,-112524,33098.24,Overstock,Medium Risk,50,2
P005,KOL001,215,104202,83,43,357,B19,104119,104159,-103845,29188.24,Overstock,Medium Risk,50,2
P005,AHM001,106,108136,37,29,175,B06,108099,108107,-107961,61792.0,Overstock,Medium Risk,50,2
P006,DEL001,131,99358,43,26,234,B09,99315,99332,-99124,42460.68,Overstock,Medium Risk,50,2
P006,PUN001,210,111016,69,43,356,F02,110947,110973,-110660,31184.27,Overstock,Medium Risk,50,2
P006,CHN001,119,110681,41,31,181,D03,110640,110650,-110500,61149.72,Overstock,Medium Risk,50,2
P006,HYD001,275,109564,84,62,472,F19,109480,109502,-109092,23212.71,Overstock,Medium Risk,50,2
P006,KOL001,105,109176,33,28,181,B13,109143,109148,-108995,60318.23,Overstock,Medium Risk,50,2
P006,AHM001,170,107359,62,43,291,A01,107297,107316,-107068,36893.13,Overstock,Medium Risk,50,2
P007,DEL001,205,119439,79,59,383,C04,119360,119380,-119056,31185.12,Overstock,Medium Risk,50,2
P007,PUN001,231,110464,72,58,459,C08,110392,110406,-110005,24066.23,Overstock,Medium Risk,50,2
