customer_id,total_orders,total_revenue,first_purchase_date,last_purchase_date,days_since_last_purchase,churn_status,is_churned
C0487,31,36312870,2019-03-08,2024-03-18,288,Churned,True
C0267,33,38686930,2019-03-07,2024-03-25,281,Churned,True
C0126,39,55322000,2019-03-05,2024-04-05,270,Churned,True
C0133,31,42807750,2019-03-27,2024-04-07,268,Churned,True
C0412,37,38694470,2019-04-20,2024-05-28,217,Churned,True
C0041,42,60948700,2019-01-11,2024-06-11,203,Churned,True
C0043,37,39495710,2019-04-04,2024-06-14,200,Churned,True
C0131,39,57656260,2019-02-21,2024-06-14,200,Churned,True
C0344,30,39253370,2019-01-04,2024-06-17,197,Churned,True
C0110,44,74097790,2019-01-25,2024-06-21,193,Churned,True
C0127,31,43586400,2019-03-01,2024-06-25,189,Churned,True
C0281,31,41345180,2019-01-01,2024-06-25,189,Churned,True
C0405,37,44240650,2019-01-30,2024-06-25,189,Churned,True
C0274,42,50332620,2019-01-08,2024-06-27,187,Churned,True
C0029,38,45653420,2019-01-16,2024-06-30,184,Churned,True
C0297,39,62422580,2019-01-19,2024-07-01,183,Churned,True
C0491,32,61370730,2019-03-27,2024-07-04,180,Churned,True
C0431,31,39337010,2019-06-09,2024-07-05,179,At Risk,False
C0451,42,41063830,2019-01-07,2024-07-06,178,At Risk,False
C0251,39,50171060,2019-01-09,2024-07-06,178,At Risk,False
C0372,37,41848360,2019-02-15,2024-07-10,174,At Risk,False
C0402,39,40181870,2019-01-25,2024-07-12,172,At Risk,False
C0008,36,38574950,2019-03-04,2024-07-16,168,At Risk,False
C0225,51,56839930,2019-03-17,2024-07-17,167,At Risk,False
C0179,35,35257010,2019-05-20,2024-07-21,163,At Risk,False
C0092,41,38901670,2019-01-17,2024-07-30,154,At Risk,False
C0143,29,39164970,2019-01-11,2024-08-02,151,At Risk,False
C0182,32,35873070,2019-03-03,2024-08-03,150,At Risk,False
C0163,40,40457330,2019-06-02,2024-08-05,148,At Risk,False
C0444,35,46629480,2019-02-25,2024-08-06,147,At Risk,False
C0176,44,54048740,2019-01-14,2024-08-07,146,At Risk,False
C0330,41,45803070,2019-02-12,2024-08-10,143,At Risk,False
C0433,38,51222820,2019-09-11,2024-08-13,140,At Risk,False
C0031,40,52182080,2019-04-11,2024-08-13,140,At Risk,False
C0339,27,40846800,2019-05-01,2024-08-16,137,At Risk,False
C0489,51,61811660,2019-04-14,2024-08-17,136,At Risk,False
C0498,30,52056060,2019-03-01,2024-08-19,134,At Risk,False
C0463,36,45761800,2019-01-10,2024-08-22,131,At Risk,False
C0324,38,43386470,2019-01-24,2024-08-24,129,At Risk,False
C0334,37,34503010,2019-01-03,2024-08-24,129,At Risk,False
C0337,35,58199500,2019-04-15,2024-08-25,128,At Risk,False
C0047,36,50441290,2019-04-06,2024-08-25,128,At Risk,False
C0428,45,56913820,2019-01-25,2024-08-26,127,At Risk,False
C0135,45,61465530,2019-03-09,2024-08-27,126,At Risk,False
C0103,42,62476630,2019-02-21,2024-08-29,124,At Risk,False
C0299,37,42381340,2019-01-24,2024-08-30,123,At Risk,False
