cohort_month,cohort_index,active_customers,cohort_size,retention_rate,revenue
2019-01,1,215,215,100.0,392951210
2019-01,2,82,215,38.14,113943640
2019-01,3,102,215,47.44,137573570
2019-01,4,98,215,45.58,161617400
2019-01,5,95,215,44.19,152382200
2019-01,6,91,215,42.33,140610610
2019-01,7,92,215,42.79,161809630
2019-01,8,110,215,51.16,176388120
2019-01,9,96,215,44.65,131638790
2019-01,10,81,215,37.67,134492190
2019-01,11,105,215,48.84,161522820
2019-01,12,91,215,42.33,141087020
2019-01,13,85,215,39.53,150717990
2019-01,14,79,215,36.74,124898000
2019-01,15,83,215,38.6,166573310
2019-01,16,81,215,37.67,132846860
2019-01,17,97,215,45.12,169323200
2019-01,18,94,215,43.72,151725850
2019-01,19,101,215,46.98,174641670
2019-01,20,97,215,45.12,180442100
2019-01,21,88,215,40.93,137788750
2019-01,22,101,215,46.98,160351760
2019-01,23,90,215,41.86,143377350
2019-01,24,85,215,39.53,175915090
2019-01,25,97,215,45.12,157953270
2019-01,26,95,215,44.19,146358420
2019-01,27,84,215,39.07,134222410
2019-01,28,101,215,46.98,167219320
2019-01,29,95,215,44.19,168552030
2019-01,30,83,215,38.6,109741230
2019-01,31,98,215,45.58,141357940
2019-01,32,85,215,39.53,162987380
2019-01,33,91,215,42.33,150067700
2019-01,34,97,215,45.12,168821640
2019-01,35,90,215,41.86,121145130
2019-01,36,95,215,44.19,165506620
2019-01,37,95,215,44.19,170174740
2019-01,38,82,215,38.14,132536780
2019-01,39,99,215,46.05,160286700
2019-01,40,94,215,43.72,161012770
2019-01,41,99,215,46.05,174150990
2019-01,42,83,215,38.6,119293900
2019-01,43,93,215,43.26,146321520
2019-01,44,96,215,44.65,146434980
2019-01,45,94,215,43.72,133621460
2019-01,46,92,215,42.79,154596430
2019-01,47,89,215,41.4,159901240
2019-01,48,97,215,45.12,154938850
2019-01,49,92,215,42.79,135371380
2019-01,50,76,215,35.35,120137600
2019-01,51,91,215,42.33,148881090
2019-01,52,90,215,41.86,170367140
2019-01,53,95,215,44.19,143279480
2019-01,54,90,215,41.86,147653190
2019-01,55,99,215,46.05,159367060
2019-01,56,97,215,45.12,169880360
2019-01,57,104,215,48.37,163767590
2019-01,58,91,215,42.33,148089430
2019-01,59,90,215,41.86,142326070
2019-01,60,85,215,39.53,137092280
2019-01,61,88,215,40.93,149315570
2019-01,62,98,215,45.58,162571870
2019-01,63,97,215,45.12,157236170
2019-01,64,91,215,42.33,128347600
2019-01,65,79,215,36.74,126989910
2019-01,66,97,215,45.12,166057650
2019-01,67,89,215,41.4,121941560
2019-01,68,96,215,44.65,145649160
2019-01,69,99,215,46.05,168524560
2019-01,70,91,215,42.33,168684210
2019-01,71,86,215,40.0,130438650
2019-01,72,86,215,40.0,146282460
2019-02,1,103,103,100.0,168030420
2019-02,2,40,103,38.83,74875570
2019-02,3,38,103,36.89,70558300
2019-02,4,43,103,41.75,85358870
2019-02,5,45,103,43.69,80858870
2019-02,6,52,103,50.49,69387990
2019-02,7,48,103,46.6,67101760
2019-02,8,45,103,43.69,81256720
2019-02,9,48,103,46.6,82767550
2019-02,10,33,103,32.04,66662620
2019-02,11,44,103,42.72,63107620
2019-02,12,41,103,39.81,72339550
2019-02,13,43,103,41.75,71511520
2019-02,14,39,103,37.86,69167710
2019-02,15,38,103,36.89,63584590
2019-02,16,51,103,49.51,87437640
2019-02,17,45,103,43.69,67327090
2019-02,18,51,103,49.51,99680440
2019-02,19,41,103,39.81,52166260
2019-02,20,56,103,54.37,106418280
2019-02,21,42,103,40.78,62025880
2019-02,22,40,103,38.83,57478660
2019-02,23,49,103,47.57,82092500
2019-02,24,48,103,46.6,89916150
2019-02,25,46,103,44.66,75454680
2019-02,26,44,103,42.72,73802180
2019-02,27,45,103,43.69,77786090
2019-02,28,41,103,39.81,64142110
2019-02,29,50,103,48.54,68005410
2019-02,30,42,103,40.78,63830150
2019-02,31,41,103,39.81,77688110
2019-02,32,44,103,42.72,80069470
2019-02,33,37,103,35.92,58206680
2019-02,34,44,103,42.72,81057350
2019-02,35,47,103,45.63,81282860
2019-02,36,50,103,48.54,69461780
2019-02,37,48,103,46.6,83566720
2019-02,38,49,103,47.57,69299730
2019-02,39,41,103,39.81,53763940
2019-02,40,51,103,49.51,87029830
2019-02,41,45,103,43.69,72306150
2019-02,42,40,103,38.83,83413590
2019-02,43,45,103,43.69,94667070
2019-02,44,45,103,43.69,81824540
2019-02,45,36,103,34.95,63261960
2019-02,46,37,103,35.92,74429340
2019-02,47,53,103,51.46,90048540
2019-02,48,51,103,49.51,85279720
2019-02,49,40,103,38.83,57282690
2019-02,50,47,103,45.63,79298340
2019-02,51,48,103,46.6,100748690
2019-02,52,52,103,50.49,72712410
2019-02,53,42,103,40.78,73717950
2019-02,54,48,103,46.6,91884610
2019-02,55,48,103,46.6,59027640
2019-02,56,46,103,44.66,81732370
2019-02,57,43,103,41.75,87202450
2019-02,58,46,103,44.66,70968140
2019-02,59,51,103,49.51,88119090
2019-02,60,47,103,45.63,71614550
2019-02,61,48,103,46.6,76509860
2019-02,62,39,103,37.86,66069830
2019-02,63,43,103,41.75,65958960
2019-02,64,43,103,41.75,68160500
2019-02,65,35,103,33.98,59198070
2019-02,66,51,103,49.51,92538780
2019-02,67,35,103,33.98,61017070
2019-02,68,45,103,43.69,69174400
2019-02,69,51,103,49.51,93307290
2019-02,70,49,103,47.57,72920360
2019-02,71,45,103,43.69,76841610
2019-03,1,86,86,100.0,155877040
2019-03,2,42,86,48.84,56366710
2019-03,3,39,86,45.35,69128610
2019-03,4,35,86,40.7,57659980
2019-03,5,37,86,43.02,81817490
2019-03,6,38,86,44.19,55731940
2019-03,7,35,86,40.7,59853740
2019-03,8,34,86,39.53,64383990
2019-03,9,41,86,47.67,68931940
2019-03,10,33,86,38.37,39845100
2019-03,11,31,86,36.05,47873770
2019-03,12,32,86,37.21,32113900
2019-03,13,43,86,50.0,61594120
2019-03,14,34,86,39.53,52162310
2019-03,15,40,86,46.51,57399600
2019-03,16,30,86,34.88,49160560
2019-03,17,46,86,53.49,85908620
2019-03,18,40,86,46.51,98299190
2019-03,19,33,86,38.37,50619430
2019-03,20,28,86,32.56,56375200
2019-03,21,34,86,39.53,61991480
2019-03,22,41,86,47.67,67159460
2019-03,23,30,86,34.88,54407790
2019-03,24,38,86,44.19,66700890
2019-03,25,33,86,38.37,60193520
2019-03,26,35,86,40.7,55492170
2019-03,27,34,86,39.53,46472380
2019-03,28,38,86,44.19,77258380
2019-03,29,44,86,51.16,71835890
2019-03,30,37,86,43.02,72499490
2019-03,31,36,86,41.86,51890810
2019-03,32,41,86,47.67,70014840
2019-03,33,47,86,54.65,75604330
2019-03,34,39,86,45.35,83474220
2019-03,35,40,86,46.51,51437910
2019-03,36,31,86,36.05,46225670
2019-03,37,37,86,43.02,81624040
2019-03,38,30,86,34.88,54964270
2019-03,39,39,86,45.35,50290320
2019-03,40,47,86,54.65,70863600
2019-03,41,32,86,37.21,39387700
2019-03,42,35,86,40.7,60289370
2019-03,43,35,86,40.7,54818510
2019-03,44,44,86,51.16,78730520
2019-03,45,34,86,39.53,52087050
2019-03,46,34,86,39.53,49495640
2019-03,47,24,86,27.91,34750780
2019-03,48,37,86,43.02,53226800
2019-03,49,45,86,52.33,72961900
2019-03,50,30,86,34.88,53528860
2019-03,51,31,86,36.05,56914800
2019-03,52,40,86,46.51,61882900
2019-03,53,26,86,30.23,44420360
2019-03,54,35,86,40.7,70018740
2019-03,55,41,86,47.67,81022710
2019-03,56,30,86,34.88,49013560
2019-03,57,32,86,37.21,51431880
2019-03,58,33,86,38.37,38553230
2019-03,59,41,86,47.67,65149740
2019-03,60,29,86,33.72,41550770
2019-03,61,36,86,41.86,43688960
2019-03,62,39,86,45.35,75078070
2019-03,63,31,86,36.05,55526790
2019-03,64,34,86,39.53,55542150
2019-03,65,35,86,40.7,72409060
2019-03,66,40,86,46.51,52276650
2019-03,67,29,86,33.72,62903060
2019-03,68,38,86,44.19,64562080
2019-03,69,37,86,43.02,57212450
2019-03,70,31,86,36.05,53683400
