cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
2019-01,100.0,38.14,47.44,45.58,44.19,42.33,42.79,51.16,44.65,37.67,48.84,42.33,39.53,36.74,38.6,37.67,45.12,43.72,46.98,45.12,40.93,46.98,41.86,39.53,45.12,44.19,39.07,46.98,44.19,38.6,45.58,39.53,42.33,45.12,41.86,44.19,44.19,38.14,46.05,43.72,46.05,38.6,43.26,44.65,43.72,42.79,41.4,45.12,42.79,35.35,42.33,41.86,44.19,41.86,46.05,45.12,48.37,42.33,41.86,39.53,40.93,45.58,45.12,42.33,36.74,45.12,41.4,44.65,46.05,42.33,40.0,40.0
2019-02,100.0,38.83,36.89,41.75,43.69,50.49,46.6,43.69,46.6,32.04,42.72,39.81,41.75,37.86,36.89,49.51,43.69,49.51,39.81,54.37,40.78,38.83,47.57,46.6,44.66,42.72,43.69,39.81,48.54,40.78,39.81,42.72,35.92,42.72,45.63,48.54,46.6,47.57,39.81,49.51,43.69,38.83,43.69,43.69,34.95,35.92,51.46,49.51,38.83,45.63,46.6,50.49,40.78,46.6,46.6,44.66,41.75,44.66,49.51,45.63,46.6,37.86,41.75,41.75,33.98,49.51,33.98,43.69,49.51,47.57,43.69,
2019-03,100.0,48.84,45.35,40.7,43.02,44.19,40.7,39.53,47.67,38.37,36.05,37.21,50.0,39.53,46.51,34.88,53.49,46.51,38.37,32.56,39.53,47.67,34.88,44.19,38.37,40.7,39.53,44.19,51.16,43.02,41.86,47.67,54.65,45.35,46.51,36.05,43.02,34.88,45.35,54.65,37.21,40.7,40.7,51.16,39.53,39.53,27.91,43.02,52.33,34.88,36.05,46.51,30.23,40.7,47.67,34.88,37.21,38.37,47.67,33.72,41.86,45.35,36.05,39.53,40.7,46.51,33.72,44.19,43.02,36.05,,
2019-04,100.0,31.71,36.59,46.34,34.15,26.83,46.34,43.9,31.71,48.78,48.78,29.27,51.22,43.9,43.9,43.9,46.34,43.9,41.46,39.02,41.46,51.22,43.9,34.15,41.46,41.46,41.46,56.1,43.9,46.34,43.9,46.34,36.59,43.9,39.02,46.34,39.02,48.78,34.15,39.02,58.54,46.34,41.46,31.71,21.95,41.46,43.9,36.59,48.78,34.15,31.71,36.59,39.02,53.66,34.15,48.78,51.22,58.54,34.15,39.02,41.46,34.15,43.9,36.59,46.34,46.34,46.34,36.59,31.71,,,
2019-05,100.0,40.0,56.0,60.0,32.0,36.0,24.0,52.0,40.0,40.0,28.0,52.0,36.0,32.0,60.0,40.0,28.0,32.0,84.0,56.0,40.0,20.0,48.0,40.0,36.0,48.0,32.0,32.0,32.0,40.0,60.0,60.0,32.0,44.0,40.0,40.0,36.0,48.0,36.0,44.0,44.0,36.0,36.0,24.0,44.0,36.0,52.0,40.0,36.0,44.0,32.0,40.0,40.0,40.0,32.0,36.0,52.0,52.0,36.0,48.0,44.0,40.0,40.0,44.0,44.0,16.0,60.0,32.0,,,,
2019-06,100.0,53.85,61.54,23.08,46.15,46.15,53.85,46.15,30.77,23.08,46.15,69.23,61.54,38.46,38.46,46.15,61.54,61.54,38.46,46.15,30.77,61.54,30.77,38.46,53.85,23.08,38.46,30.77,30.77,38.46,30.77,38.46,46.15,30.77,38.46,30.77,46.15,7.69,61.54,61.54,38.46,61.54,61.54,38.46,38.46,53.85,38.46,46.15,23.08,46.15,61.54,30.77,46.15,23.08,61.54,53.85,30.77,38.46,15.38,30.77,61.54,46.15,46.15,46.15,53.85,38.46,38.46,,,,,
2019-07,100.0,55.56,11.11,33.33,77.78,55.56,55.56,22.22,55.56,22.22,55.56,55.56,55.56,33.33,44.44,66.67,33.33,22.22,33.33,44.44,44.44,44.44,44.44,44.44,33.33,55.56,66.67,66.67,44.44,33.33,44.44,55.56,33.33,22.22,66.67,44.44,44.44,55.56,33.33,55.56,44.44,22.22,33.33,55.56,66.67,33.33,55.56,44.44,22.22,33.33,11.11,33.33,22.22,77.78,55.56,33.33,66.67,44.44,22.22,55.56,33.33,77.78,66.67,33.33,55.56,44.44,,,,,,
2019-08,100.0,100.0,100.0,,100.0,100.0,,,,,,,,100.0,,100.0,100.0,,100.0,,,,,,100.0,100.0,100.0,,,,,,,100.0,,,100.0,100.0,100.0,,,,100.0,,100.0,,,100.0,100.0,,,100.0,,100.0,,100.0,,100.0,100.0,,,,100.0,100.0,,,,,,,,
2019-09,100.0,50.0,25.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,75.0,25.0,75.0,75.0,75.0,75.0,75.0,25.0,25.0,25.0,25.0,50.0,50.0,100.0,25.0,,50.0,75.0,25.0,75.0,50.0,50.0,25.0,25.0,75.0,75.0,25.0,25.0,50.0,50.0,25.0,50.0,25.0,75.0,50.0,,25.0,100.0,25.0,75.0,75.0,25.0,25.0,50.0,75.0,50.0,25.0,50.0,50.0,25.0,25.0,,,,,,,,
2019-10,100.0,50.0,50.0,,50.0,50.0,50.0,100.0,50.0,,50.0,50.0,50.0,100.0,50.0,50.0,100.0,50.0,50.0,100.0,50.0,50.0,,,100.0,50.0,50.0,,100.0,,100.0,,50.0,100.0,50.0,50.0,50.0,50.0,,50.0,100.0,100.0,50.0,,50.0,,50.0,100.0,50.0,50.0,,100.0,,50.0,50.0,,,,,,100.0,50.0,,,,,,,,,,
2019-12,100.0,100.0,,,,,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,,,,,,100.0,100.0,,100.0,,,,100.0,,,,,100.0,,,,100.0,100.0,100.0,,,100.0,100.0,100.0,,,,,,100.0,100.0,100.0,100.0,,,100.0,,,100.0,100.0,,,,,,,,,,,
