customer_id,customer_type,industry_segment,city,state,region,customer_rating,total_orders,total_revenue,first_purchase_date,last_purchase_date,customer_lifetime_days,customer_lifetime_years,annual_customer_value,estimated_3_year_clv,clv_segment
C0288,Dealer,Infrastructure,Delhi,Delhi,North,3,63,84094790,2019-02-21,2024-10-18,2066,5.66,14857017.59,44571052.78,High CLV
C0483,Corporate,Rental,Delhi,Delhi,North,1,53,85183900,2019-02-20,2024-12-18,2128,5.83,14610960.29,43832880.87,High CLV
C0153,Retail,Rental,Patna,Bihar,East,4,59,85877020,2019-01-17,2024-12-12,2156,5.91,14538549.3,43615647.91,High CLV
C0254,Dealer,Mining,Ahmedabad,Gujarat,West,5,52,75547750,2019-07-01,2024-09-25,1913,5.24,14414494.9,43243484.71,High CLV
C0240,Corporate,Manufacturing,Hyderabad,Telangana,South,1,50,81776260,2019-02-19,2024-11-10,2091,5.73,14274669.97,42824009.9,High CLV
C0342,Dealer,Infrastructure,Delhi,Delhi,North,5,44,78469470,2019-04-12,2024-10-09,2007,5.5,14270730.72,42812192.15,High CLV
C0420,Retail,Rental,Chennai,Tamil Nadu,South,3,54,82700390,2019-01-10,2024-11-22,2143,5.87,14085694.05,42257082.15,High CLV
C0207,Corporate,Rental,Kolkata,West Bengal,East,1,51,79795630,2019-02-10,2024-10-13,2072,5.68,14056662.62,42169987.86,High CLV
C0495,Fleet Owner,Infrastructure,Jaipur,Rajasthan,North,2,52,82914040,2019-01-01,2024-11-25,2155,5.9,14043445.29,42130335.87,High CLV
C0083,Dealer,Infrastructure,Delhi,Delhi,North,2,50,74075280,2019-05-23,2024-10-04,1961,5.37,13787596.74,41362790.21,High CLV
C0110,Dealer,Logistics,Indore,Madhya Pradesh,Central,5,44,74097790,2019-01-25,2024-06-21,1974,5.41,13700959.14,41102877.43,High CLV
C0359,Fleet Owner,Mining,Hyderabad,Telangana,South,3,52,78412380,2019-02-12,2024-11-28,2116,5.8,13525764.98,40577294.94,High CLV
C0466,Retail,Manufacturing,Bengaluru,Karnataka,South,3,52,78342990,2019-01-25,2024-12-13,2149,5.89,13306277.97,39918833.9,High CLV
C0046,Retail,Rental,Ahmedabad,Gujarat,West,3,51,76069120,2019-02-03,2024-12-09,2136,5.85,12998702.62,38996107.87,High CLV
C0475,Fleet Owner,Construction,Kolkata,West Bengal,East,3,58,76825820,2019-01-19,2024-12-18,2160,5.92,12982140.88,38946422.64,High CLV
C0178,Dealer,Logistics,Kolkata,West Bengal,East,1,58,76367620,2019-01-22,2024-12-09,2148,5.88,12976806.94,38930420.81,High CLV
C0482,Fleet Owner,Logistics,Kolkata,West Bengal,East,1,36,64020490,2019-12-15,2024-12-03,1815,4.97,12874643.99,38623931.98,High CLV
C0206,Retail,Construction,Pune,Maharashtra,West,3,46,75741580,2019-01-08,2024-12-11,2164,5.93,12775266.5,38325799.49,High CLV
C0291,Retail,Construction,Hyderabad,Telangana,South,2,54,73179030,2019-03-13,2024-12-03,2092,5.73,12767851.79,38303555.38,High CLV
C0084,Corporate,Logistics,Pune,Maharashtra,West,3,47,71147780,2019-04-29,2024-12-05,2047,5.61,12686340.84,38059022.52,High CLV
C0421,Retail,Construction,Chennai,Tamil Nadu,South,3,45,69154590,2019-04-06,2024-09-17,1991,5.45,12677762.61,38033287.82,High CLV
C0200,Retail,Logistics,Ranchi,Jharkhand,East,2,52,73304770,2019-02-09,2024-11-25,2116,5.8,12644726.39,37934179.18,High CLV
C0134,Fleet Owner,Infrastructure,Ahmedabad,Gujarat,West,5,50,71908050,2019-03-03,2024-11-24,2093,5.73,12540104.28,37620312.83,High CLV
C0490,Government,Logistics,Pune,Maharashtra,West,3,50,73710890,2019-01-26,2024-12-29,2164,5.93,12432751.78,37298255.34,High CLV
C0241,Government,Construction,Ahmedabad,Gujarat,West,1,46,71234710,2019-02-01,2024-10-31,2099,5.75,12387169.68,37161509.03,High CLV
C0462,Retail,Logistics,Chennai,Tamil Nadu,South,5,52,72302020,2019-01-06,2024-11-13,2138,5.86,12343422.5,37030267.49,High CLV
C0371,Retail,Rental,Hyderabad,Telangana,South,3,51,71366470,2019-01-03,2024-11-02,2130,5.84,12229465.52,36688396.55,High CLV
C0380,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,5,58,71455250,2019-01-29,2024-12-08,2140,5.86,12187460.86,36562382.59,High CLV
C0272,Government,Construction,Delhi,Delhi,North,1,43,64345280,2019-09-01,2024-12-13,1930,5.29,12168926.01,36506778.03,High CLV
C0304,Dealer,Construction,Delhi,Delhi,North,5,51,71638560,2019-01-26,2024-12-25,2160,5.92,12105590.0,36316770.0,High CLV
C0422,Government,Construction,Hyderabad,Telangana,South,5,44,61810690,2019-09-19,2024-11-04,1873,5.13,12045329.34,36135988.01,High CLV
C0005,Dealer,Construction,Ahmedabad,Gujarat,West,2,51,67256610,2019-02-28,2024-10-04,2045,5.6,12004236.01,36012708.04,High CLV
C0294,Government,Infrastructure,Hyderabad,Telangana,South,4,51,69115310,2019-03-26,2024-12-27,2103,5.76,11995762.32,35987286.95,High CLV
C0468,Fleet Owner,Rental,Hyderabad,Telangana,South,1,56,70116180,2019-02-11,2024-12-31,2150,5.89,11903444.51,35710333.53,High CLV
C0107,Fleet Owner,Construction,Delhi,Delhi,North,1,52,70691460,2019-01-01,2024-12-11,2171,5.95,11885022.06,35655066.19,High CLV
C0440,Retail,Manufacturing,Hyderabad,Telangana,South,5,47,67904760,2019-01-29,2024-10-21,2092,5.73,11847627.82,35542883.46,High CLV
C0197,Government,Manufacturing,Ahmedabad,Gujarat,West,2,50,66821570,2019-02-22,2024-10-18,2065,5.66,11811076.54,35433229.61,High CLV
C0142,Retail,Manufacturing,Ahmedabad,Gujarat,West,1,48,68942040,2019-02-06,2024-12-08,2132,5.84,11802928.99,35408786.96,High CLV
C0307,Dealer,Manufacturing,Ahmedabad,Gujarat,West,1,48,68834490,2019-01-15,2024-11-24,2140,5.86,11740462.08,35221386.24,High CLV
C0435,Dealer,Manufacturing,Chennai,Tamil Nadu,South,4,57,66153460,2019-03-12,2024-11-01,2061,5.65,11715678.26,35147034.79,High CLV
C0070,Government,Logistics,Ahmedabad,Gujarat,West,3,48,68783440,2019-02-04,2024-12-20,2146,5.88,11698954.15,35096862.44,High CLV
C0394,Government,Construction,Hyderabad,Telangana,South,4,46,66611310,2019-03-08,2024-11-21,2085,5.71,11660972.73,34982918.2,High CLV
C0491,Dealer,Infrastructure,Chennai,Tamil Nadu,South,1,32,61370730,2019-03-27,2024-07-04,1926,5.28,11630486.21,34891458.64,High CLV
C0385,Corporate,Manufacturing,Ahmedabad,Gujarat,West,2,42,60053350,2019-07-27,2024-09-23,1885,5.16,11628367.51,34885102.52,High CLV
C0244,Government,Logistics,Lucknow,Uttar Pradesh,North,3,48,64972160,2019-05-06,2024-12-09,2044,5.6,11602171.43,34806514.29,High CLV
C0489,Fleet Owner,Rental,Chennai,Tamil Nadu,South,5,51,61811660,2019-04-14,2024-08-17,1952,5.35,11558020.44,34674061.32,High CLV
C0476,Fleet Owner,Infrastructure,Delhi,Delhi,North,3,38,65951870,2019-01-13,2024-09-29,2086,5.72,11539996.43,34619989.29,High CLV
C0403,Government,Construction,Kolkata,West Bengal,East,4,49,66810710,2019-02-19,2024-12-10,2121,5.81,11497364.05,34492092.15,High CLV
C0375,Fleet Owner,Mining,Surat,Gujarat,West,1,44,65579710,2019-02-20,2024-11-03,2083,5.71,11491403.82,34474211.45,High CLV
C0384,Retail,Construction,Chennai,Tamil Nadu,South,3,42,64311810,2019-02-05,2024-09-09,2043,5.6,11489873.05,34469619.16,High CLV
C0076,Government,Mining,Chennai,Tamil Nadu,South,2,49,68416560,2019-01-12,2024-12-27,2176,5.96,11476123.35,34428370.04,High CLV
C0297,Fleet Owner,Rental,Chennai,Tamil Nadu,South,3,39,62422580,2019-01-19,2024-07-01,1990,5.45,11449367.69,34348103.07,High CLV
C0221,Dealer,Logistics,Delhi,Delhi,North,5,44,64336800,2019-01-17,2024-09-05,2058,5.64,11410559.77,34231679.3,High CLV
C0006,Government,Construction,Ahmedabad,Gujarat,West,3,46,60992880,2019-04-21,2024-09-02,1961,5.37,11352575.83,34057727.49,High CLV
C0062,Dealer,Construction,Hyderabad,Telangana,South,1,38,63839240,2019-03-18,2024-10-31,2054,5.63,11344363.49,34033090.46,High CLV
C0169,Fleet Owner,Construction,Ahmedabad,Gujarat,West,4,44,63375830,2019-03-25,2024-10-27,2043,5.6,11322651.96,33967955.87,High CLV
C0201,Dealer,Infrastructure,Chennai,Tamil Nadu,South,4,49,66387120,2019-02-01,2024-12-13,2142,5.87,11312464.43,33937393.28,High CLV
C0103,Dealer,Infrastructure,Coimbatore,Tamil Nadu,South,4,42,62476630,2019-02-21,2024-08-29,2016,5.52,11311493.03,33934479.09,High CLV
C0295,Corporate,Mining,Kolkata,West Bengal,East,5,46,63205470,2019-03-07,2024-10-09,2043,5.6,11292215.64,33876646.92,High CLV
C0041,Government,Rental,Hyderabad,Telangana,South,5,42,60948700,2019-01-11,2024-06-11,1978,5.42,11246853.13,33740559.4,High CLV
C0373,Corporate,Manufacturing,Hyderabad,Telangana,South,3,43,60942770,2019-04-03,2024-09-02,1979,5.42,11240076.33,33720228.98,High CLV
C0135,Retail,Rental,Bengaluru,Karnataka,South,2,45,61465530,2019-03-09,2024-08-27,1998,5.47,11228687.91,33686063.74,High CLV
C0119,Government,Manufacturing,Surat,Gujarat,West,4,58,65855380,2019-01-07,2024-11-23,2147,5.88,11195721.33,33587164.0,High CLV
C0102,Government,Infrastructure,Patna,Bihar,East,4,38,62773480,2019-03-11,2024-10-24,2054,5.63,11154975.75,33464927.26,High CLV
C0069,Dealer,Logistics,Delhi,Delhi,North,2,52,64878390,2019-02-18,2024-12-11,2123,5.82,11154315.76,33462947.27,High CLV
C0049,Dealer,Manufacturing,Coimbatore,Tamil Nadu,South,5,42,66038070,2019-01-25,2024-12-25,2161,5.92,11154046.99,33462140.98,High CLV
C0209,Corporate,Infrastructure,Ranchi,Jharkhand,East,5,46,56741580,2019-10-18,2024-11-22,1862,5.1,11122812.41,33368437.22,High CLV
C0082,Fleet Owner,Manufacturing,Ahmedabad,Gujarat,West,3,50,63866170,2019-03-17,2024-12-18,2103,5.76,11084713.29,33254139.87,High CLV
C0411,Corporate,Mining,Hyderabad,Telangana,South,5,46,61125740,2019-06-05,2024-12-12,2017,5.53,11061425.43,33184276.3,High CLV
C0013,Dealer,Construction,Surat,Gujarat,West,2,49,64377720,2019-01-02,2024-10-27,2125,5.82,11057820.14,33173460.42,High CLV
C0168,Dealer,Infrastructure,Pune,Maharashtra,West,1,38,61195700,2019-06-02,2024-12-18,2026,5.55,11024891.66,33074674.98,High CLV
C0311,Government,Infrastructure,Chandigarh,Punjab,North,4,46,61951490,2019-02-03,2024-09-17,2053,5.62,11014268.8,33042806.41,High CLV
C0060,Dealer,Mining,Hyderabad,Telangana,South,1,50,64410620,2019-01-19,2024-11-24,2136,5.85,11006496.4,33019489.19,High CLV
C0113,Corporate,Logistics,Chennai,Tamil Nadu,South,2,42,65271430,2019-01-13,2024-12-23,2171,5.95,10973777.96,32921333.88,High CLV
C0250,Government,Infrastructure,Patna,Bihar,East,2,45,63230590,2019-03-08,2024-12-20,2114,5.79,10917296.76,32751890.28,High CLV
C0356,Dealer,Mining,Bhubaneswar,Odisha,East,2,45,62479450,2019-03-16,2024-12-05,2091,5.73,10906264.59,32718793.76,High CLV
C0126,Dealer,Manufacturing,Hyderabad,Telangana,South,4,39,55322000,2019-03-05,2024-04-05,1858,5.09,10867884.82,32603654.47,High CLV
C0129,Corporate,Mining,Delhi,Delhi,North,5,40,64690070,2019-01-06,2024-12-18,2173,5.95,10866026.48,32598079.45,High CLV
C0300,Dealer,Mining,Delhi,Delhi,North,1,44,60578170,2019-05-05,2024-11-30,2036,5.58,10860035.39,32580106.16,High CLV
C0131,Corporate,Rental,Hyderabad,Telangana,South,2,39,57656260,2019-02-21,2024-06-14,1940,5.32,10847698.4,32543095.21,High CLV
C0337,Corporate,Manufacturing,Delhi,Delhi,North,2,35,58199500,2019-04-15,2024-08-25,1959,5.37,10843704.7,32531114.09,High CLV
C0165,Fleet Owner,Manufacturing,Delhi,Delhi,North,4,51,63180540,2019-02-27,2024-12-24,2127,5.83,10841982.65,32525947.95,High CLV
C0459,Retail,Logistics,Ranchi,Jharkhand,East,5,45,62289100,2019-03-10,2024-12-14,2106,5.77,10795594.25,32386782.76,High CLV
C0215,Corporate,Rental,Chennai,Tamil Nadu,South,5,53,62827530,2019-02-28,2024-12-24,2126,5.82,10786476.22,32359428.67,High CLV
C0042,Fleet Owner,Rental,Chennai,Tamil Nadu,South,4,44,61493750,2019-01-25,2024-10-13,2088,5.72,10749625.84,32248877.51,High CLV
