customer_id,total_orders,total_order_value,average_order_value,first_order_date,last_order_date,activity_days,purchase_behaviour
C0153,59,85877020,1455542.71,2019-01-17,2024-12-12,2156,Highly Frequent
C0483,53,85183900,1607243.4,2019-02-20,2024-12-18,2128,Highly Frequent
C0288,63,84094790,1334837.94,2019-02-21,2024-10-18,2066,Highly Frequent
C0495,52,82914040,1594500.77,2019-01-01,2024-11-25,2155,Highly Frequent
C0420,54,82700390,1531488.7,2019-01-10,2024-11-22,2143,Highly Frequent
C0240,50,81776260,1635525.2,2019-02-19,2024-11-10,2091,Highly Frequent
C0207,51,79795630,1564620.2,2019-02-10,2024-10-13,2072,Highly Frequent
C0342,44,78469470,1783397.05,2019-04-12,2024-10-09,2007,Highly Frequent
C0359,52,78412380,1507930.38,2019-02-12,2024-11-28,2116,Highly Frequent
C0466,52,78342990,1506595.96,2019-01-25,2024-12-13,2149,Highly Frequent
C0475,58,76825820,1324583.1,2019-01-19,2024-12-18,2160,Highly Frequent
C0178,58,76367620,1316683.1,2019-01-22,2024-12-09,2148,Highly Frequent
C0046,51,76069120,1491551.37,2019-02-03,2024-12-09,2136,Highly Frequent
C0206,46,75741580,1646556.09,2019-01-08,2024-12-11,2164,Highly Frequent
C0254,52,75547750,1452841.35,2019-07-01,2024-09-25,1913,Highly Frequent
C0110,44,74097790,1684040.68,2019-01-25,2024-06-21,1974,Highly Frequent
C0083,50,74075280,1481505.6,2019-05-23,2024-10-04,1961,Highly Frequent
C0490,50,73710890,1474217.8,2019-01-26,2024-12-29,2164,Highly Frequent
C0200,52,73304770,1409707.12,2019-02-09,2024-11-25,2116,Highly Frequent
C0291,54,73179030,1355167.22,2019-03-13,2024-12-03,2092,Highly Frequent
C0462,52,72302020,1390423.46,2019-01-06,2024-11-13,2138,Highly Frequent
C0134,50,71908050,1438161.0,2019-03-03,2024-11-24,2093,Highly Frequent
C0304,51,71638560,1404677.65,2019-01-26,2024-12-25,2160,Highly Frequent
C0380,58,71455250,1231987.07,2019-01-29,2024-12-08,2140,Highly Frequent
C0371,51,71366470,1399342.55,2019-01-03,2024-11-02,2130,Highly Frequent
C0241,46,71234710,1548580.65,2019-02-01,2024-10-31,2099,Highly Frequent
C0084,47,71147780,1513782.55,2019-04-29,2024-12-05,2047,Highly Frequent
C0107,52,70691460,1359451.15,2019-01-01,2024-12-11,2171,Highly Frequent
C0468,56,70116180,1252074.64,2019-02-11,2024-12-31,2150,Highly Frequent
C0421,45,69154590,1536768.67,2019-04-06,2024-09-17,1991,Highly Frequent
C0294,51,69115310,1355202.16,2019-03-26,2024-12-27,2103,Highly Frequent
C0142,48,68942040,1436292.5,2019-02-06,2024-12-08,2132,Highly Frequent
C0307,48,68834490,1434051.88,2019-01-15,2024-11-24,2140,Highly Frequent
C0070,48,68783440,1432988.33,2019-02-04,2024-12-20,2146,Highly Frequent
C0076,49,68416560,1396256.33,2019-01-12,2024-12-27,2176,Highly Frequent
C0440,47,67904760,1444782.13,2019-01-29,2024-10-21,2092,Highly Frequent
C0005,51,67256610,1318757.06,2019-02-28,2024-10-04,2045,Highly Frequent
C0197,50,66821570,1336431.4,2019-02-22,2024-10-18,2065,Highly Frequent
C0403,49,66810710,1363483.88,2019-02-19,2024-12-10,2121,Highly Frequent
C0394,46,66611310,1448071.96,2019-03-08,2024-11-21,2085,Highly Frequent
C0201,49,66387120,1354839.18,2019-02-01,2024-12-13,2142,Highly Frequent
C0435,57,66153460,1160587.02,2019-03-12,2024-11-01,2061,Highly Frequent
C0049,42,66038070,1572335.0,2019-01-25,2024-12-25,2161,Highly Frequent
C0476,38,65951870,1735575.53,2019-01-13,2024-09-29,2086,Highly Frequent
C0119,58,65855380,1135437.59,2019-01-07,2024-11-23,2147,Highly Frequent
C0375,44,65579710,1490447.95,2019-02-20,2024-11-03,2083,Highly Frequent
C0113,42,65271430,1554081.67,2019-01-13,2024-12-23,2171,Highly Frequent
C0244,48,64972160,1353586.67,2019-05-06,2024-12-09,2044,Highly Frequent
C0069,52,64878390,1247661.35,2019-02-18,2024-12-11,2123,Highly Frequent
C0129,40,64690070,1617251.75,2019-01-06,2024-12-18,2173,Highly Frequent
C0060,50,64410620,1288212.4,2019-01-19,2024-11-24,2136,Highly Frequent
C0013,49,64377720,1313831.02,2019-01-02,2024-10-27,2125,Highly Frequent
C0272,43,64345280,1496401.86,2019-09-01,2024-12-13,1930,Highly Frequent
C0221,44,64336800,1462200.0,2019-01-17,2024-09-05,2058,Highly Frequent
C0384,42,64311810,1531233.57,2019-02-05,2024-09-09,2043,Highly Frequent
C0482,36,64020490,1778346.94,2019-12-15,2024-12-03,1815,Highly Frequent
C0082,50,63866170,1277323.4,2019-03-17,2024-12-18,2103,Highly Frequent
C0062,38,63839240,1679980.0,2019-03-18,2024-10-31,2054,Highly Frequent
C0169,44,63375830,1440359.77,2019-03-25,2024-10-27,2043,Highly Frequent
C0234,33,63256170,1916853.64,2019-01-09,2024-12-26,2178,Highly Frequent
C0250,45,63230590,1405124.22,2019-03-08,2024-12-20,2114,Highly Frequent
C0295,46,63205470,1374031.96,2019-03-07,2024-10-09,2043,Highly Frequent
C0165,51,63180540,1238834.12,2019-02-27,2024-12-24,2127,Highly Frequent
C0215,53,62827530,1185425.09,2019-02-28,2024-12-24,2126,Highly Frequent
C0102,38,62773480,1651933.68,2019-03-11,2024-10-24,2054,Highly Frequent
C0276,49,62626530,1278092.45,2019-01-08,2024-12-29,2182,Highly Frequent
C0356,45,62479450,1388432.22,2019-03-16,2024-12-05,2091,Highly Frequent
C0103,42,62476630,1487538.81,2019-02-21,2024-08-29,2016,Highly Frequent
C0297,39,62422580,1600578.97,2019-01-19,2024-07-01,1990,Highly Frequent
C0219,48,62317920,1298290.0,2019-01-09,2024-12-21,2173,Highly Frequent
C0459,45,62289100,1384202.22,2019-03-10,2024-12-14,2106,Highly Frequent
C0478,47,61995630,1319055.96,2019-02-04,2024-12-29,2155,Highly Frequent
C0311,46,61951490,1346771.52,2019-02-03,2024-09-17,2053,Highly Frequent
C0489,51,61811660,1211993.33,2019-04-14,2024-08-17,1952,Highly Frequent
C0422,44,61810690,1404788.41,2019-09-19,2024-11-04,1873,Highly Frequent
C0282,51,61527530,1206422.16,2019-01-17,2024-12-24,2168,Highly Frequent
C0042,44,61493750,1397585.23,2019-01-25,2024-10-13,2088,Highly Frequent
C0135,45,61465530,1365900.67,2019-03-09,2024-08-27,1998,Highly Frequent
C0491,32,61370730,1917835.31,2019-03-27,2024-07-04,1926,Highly Frequent
C0246,37,61368980,1658621.08,2019-01-26,2024-11-02,2107,Highly Frequent
C0284,45,61309650,1362436.67,2019-01-09,2024-12-23,2175,Highly Frequent
C0196,54,61286970,1134943.89,2019-01-09,2024-10-28,2119,Highly Frequent
C0168,38,61195700,1610413.16,2019-06-02,2024-12-18,2026,Highly Frequent
C0154,46,61178520,1329967.83,2019-01-29,2024-12-16,2148,Highly Frequent
C0002,56,61160690,1092155.18,2019-01-24,2024-11-28,2135,Highly Frequent
C0411,46,61125740,1328820.43,2019-06-05,2024-12-12,2017,Highly Frequent
C0006,46,60992880,1325932.17,2019-04-21,2024-09-02,1961,Highly Frequent
C0045,43,60965470,1417801.63,2019-02-02,2024-12-15,2143,Highly Frequent
C0041,42,60948700,1451159.52,2019-01-11,2024-06-11,1978,Highly Frequent
C0373,43,60942770,1417273.72,2019-04-03,2024-09-02,1979,Highly Frequent
C0016,41,60898100,1485319.51,2019-01-18,2024-12-18,2161,Highly Frequent
C0242,50,60722930,1214458.6,2019-01-30,2024-11-18,2119,Highly Frequent
C0186,42,60717650,1445658.33,2019-02-17,2024-12-11,2124,Highly Frequent
C0300,44,60578170,1376776.59,2019-05-05,2024-11-30,2036,Highly Frequent
C0063,43,60573240,1408680.0,2019-02-28,2024-12-19,2121,Highly Frequent
C0071,47,60419160,1285514.04,2019-01-24,2024-11-26,2133,Highly Frequent
C0257,45,60172930,1337176.22,2019-01-18,2024-12-23,2166,Highly Frequent
C0116,40,60134220,1503355.5,2019-01-06,2024-09-25,2089,Highly Frequent
C0026,41,60102980,1465926.34,2019-01-09,2024-12-29,2181,Highly Frequent
C0255,49,60102490,1226581.43,2019-01-05,2024-11-11,2137,Highly Frequent
C0216,46,60089830,1306300.65,2019-01-27,2024-11-20,2124,Highly Frequent
C0385,42,60053350,1429841.67,2019-07-27,2024-09-23,1885,Highly Frequent
C0160,49,59980970,1224101.43,2019-02-19,2024-11-23,2104,Highly Frequent
C0369,46,59977870,1303866.74,2019-01-26,2024-12-13,2148,Highly Frequent
C0141,40,59888120,1497203.0,2019-04-06,2024-11-15,2050,Highly Frequent
C0237,46,59754510,1299011.09,2019-01-28,2024-10-15,2087,Highly Frequent
C0192,43,59390920,1381184.19,2019-01-19,2024-10-25,2106,Highly Frequent
C0343,45,59151480,1314477.33,2019-02-28,2024-11-21,2093,Highly Frequent
C0065,41,59050070,1440245.61,2019-01-01,2024-12-12,2172,Highly Frequent
C0253,40,59006480,1475162.0,2019-03-28,2024-11-27,2071,Highly Frequent
C0447,39,58830780,1508481.54,2019-01-05,2024-12-23,2179,Highly Frequent
C0025,44,58809760,1336585.45,2019-01-29,2024-09-21,2062,Highly Frequent
C0488,40,58528170,1463204.25,2019-03-01,2024-11-26,2097,Highly Frequent
C0269,48,58480890,1218351.88,2019-01-12,2024-11-22,2141,Highly Frequent
C0374,46,58464410,1270965.43,2019-03-07,2024-12-10,2105,Highly Frequent
C0471,42,58365420,1389652.86,2019-02-23,2024-11-27,2104,Highly Frequent
C0140,44,58201560,1322762.73,2019-01-12,2024-11-24,2143,Highly Frequent
C0337,35,58199500,1662842.86,2019-04-15,2024-08-25,1959,Highly Frequent
C0032,45,58165930,1292576.22,2019-01-23,2024-10-25,2102,Highly Frequent
C0166,34,58111030,1709147.94,2019-01-18,2024-12-08,2151,Highly Frequent
C0318,41,58005460,1414767.32,2019-01-08,2024-11-09,2132,Highly Frequent
C0109,48,57909360,1206445.0,2019-01-14,2024-12-09,2156,Highly Frequent
