customer_id,total_orders,first_purchase_date,last_purchase_date,total_revenue,retention_status,is_retained,customer_lifetime_days
C0288,63,2019-02-21,2024-10-18,84094790,Retained Customer,True,2066
C0153,59,2019-01-17,2024-12-12,85877020,Retained Customer,True,2156
C0178,58,2019-01-22,2024-12-09,76367620,Retained Customer,True,2148
C0380,58,2019-01-29,2024-12-08,71455250,Retained Customer,True,2140
C0119,58,2019-01-07,2024-11-23,65855380,Retained Customer,True,2147
C0475,58,2019-01-19,2024-12-18,76825820,Retained Customer,True,2160
C0435,57,2019-03-12,2024-11-01,66153460,Retained Customer,True,2061
C0468,56,2019-02-11,2024-12-31,70116180,Retained Customer,True,2150
C0002,56,2019-01-24,2024-11-28,61160690,Retained Customer,True,2135
C0467,55,2019-01-02,2024-11-06,53206760,Retained Customer,True,2135
C0291,54,2019-03-13,2024-12-03,73179030,Retained Customer,True,2092
C0196,54,2019-01-09,2024-10-28,61286970,Retained Customer,True,2119
C0420,54,2019-01-10,2024-11-22,82700390,Retained Customer,True,2143
C0215,53,2019-02-28,2024-12-24,62827530,Retained Customer,True,2126
C0483,53,2019-02-20,2024-12-18,85183900,Retained Customer,True,2128
C0069,52,2019-02-18,2024-12-11,64878390,Retained Customer,True,2123
C0254,52,2019-07-01,2024-09-25,75547750,Retained Customer,True,1913
C0107,52,2019-01-01,2024-12-11,70691460,Retained Customer,True,2171
C0495,52,2019-01-01,2024-11-25,82914040,Retained Customer,True,2155
C0462,52,2019-01-06,2024-11-13,72302020,Retained Customer,True,2138
C0466,52,2019-01-25,2024-12-13,78342990,Retained Customer,True,2149
C0359,52,2019-02-12,2024-11-28,78412380,Retained Customer,True,2116
C0099,52,2019-01-10,2024-12-26,52019750,Retained Customer,True,2177
C0200,52,2019-02-09,2024-11-25,73304770,Retained Customer,True,2116
C0005,51,2019-02-28,2024-10-04,67256610,Retained Customer,True,2045
C0304,51,2019-01-26,2024-12-25,71638560,Retained Customer,True,2160
C0282,51,2019-01-17,2024-12-24,61527530,Retained Customer,True,2168
C0489,51,2019-04-14,2024-08-17,61811660,Retained Customer,True,1952
C0165,51,2019-02-27,2024-12-24,63180540,Retained Customer,True,2127
C0046,51,2019-02-03,2024-12-09,76069120,Retained Customer,True,2136
C0207,51,2019-02-10,2024-10-13,79795630,Retained Customer,True,2072
C0371,51,2019-01-03,2024-11-02,71366470,Retained Customer,True,2130
C0225,51,2019-03-17,2024-07-17,56839930,Retained Customer,True,1949
C0285,51,2019-02-11,2024-12-05,44949370,Retained Customer,True,2124
C0294,51,2019-03-26,2024-12-27,69115310,Retained Customer,True,2103
C0197,50,2019-02-22,2024-10-18,66821570,Retained Customer,True,2065
C0134,50,2019-03-03,2024-11-24,71908050,Retained Customer,True,2093
C0242,50,2019-01-30,2024-11-18,60722930,Retained Customer,True,2119
C0082,50,2019-03-17,2024-12-18,63866170,Retained Customer,True,2103
C0240,50,2019-02-19,2024-11-10,81776260,Retained Customer,True,2091
C0060,50,2019-01-19,2024-11-24,64410620,Retained Customer,True,2136
C0010,50,2019-01-23,2024-11-27,54508210,Retained Customer,True,2135
C0490,50,2019-01-26,2024-12-29,73710890,Retained Customer,True,2164
C0083,50,2019-05-23,2024-10-04,74075280,Retained Customer,True,1961
