product_id,order_date,quantity,7_day_avg_demand,30_day_avg_demand,next_day_forecast
P001,2019-01-01,9.0,9.0,9.0,9.0
P001,2019-01-02,22.0,15.5,15.5,15.5
P001,2019-01-03,18.0,16.33,16.33,16.33
P001,2019-01-04,20.0,17.25,17.25,17.25
P001,2019-01-05,14.0,16.6,16.6,16.6
P001,2019-01-06,12.0,15.83,15.83,15.83
P001,2019-01-07,9.0,14.86,14.86,14.86
P001,2019-01-08,30.0,17.86,16.75,17.86
P001,2019-01-09,16.0,17.0,16.67,17.0
P001,2019-01-10,26.0,18.14,17.6,18.14
P001,2019-01-11,20.0,18.14,17.82,18.14
P001,2019-01-12,6.0,17.0,16.83,17.0
P001,2019-01-13,16.0,17.57,16.77,17.57
P001,2019-01-14,5.0,17.0,15.93,17.0
P001,2019-01-15,0.0,12.71,14.87,12.71
P001,2019-01-16,19.0,13.14,15.12,13.14
P001,2019-01-17,0.0,9.43,14.24,9.43
P001,2019-01-18,0.0,6.57,13.44,6.57
P001,2019-01-19,60.0,14.29,15.89,14.29
P001,2019-01-20,0.0,12.0,15.1,12.0
P001,2019-01-21,41.0,17.14,16.33,17.14
P001,2019-01-22,4.0,17.71,15.77,17.71
P001,2019-01-23,6.0,15.86,15.35,15.86
P001,2019-01-24,36.0,21.0,16.21,21.0
P001,2019-01-25,12.0,22.71,16.04,22.71
P001,2019-01-26,5.0,14.86,15.62,14.86
P001,2019-01-27,21.0,17.86,15.81,17.86
P001,2019-01-28,7.0,13.0,15.5,13.0
P001,2019-01-29,20.0,15.29,15.66,15.29
P001,2019-01-30,29.0,18.57,16.1,18.57
P001,2019-01-31,30.0,17.71,16.8,17.71
P001,2019-02-01,18.0,18.57,16.67,18.57
P001,2019-02-02,0.0,17.86,16.07,17.86
P001,2019-02-03,0.0,14.86,15.4,14.86
P001,2019-02-04,0.0,13.86,14.93,13.86
P001,2019-02-05,7.0,12.0,14.77,12.0
P001,2019-02-06,15.0,10.0,14.97,10.0
P001,2019-02-07,0.0,5.71,13.97,5.71
P001,2019-02-08,0.0,3.14,13.43,3.14
P001,2019-02-09,0.0,3.14,12.57,3.14
P001,2019-02-10,24.0,6.57,12.7,6.57
P001,2019-02-11,0.0,6.57,12.5,6.57
P001,2019-02-12,29.0,9.71,12.93,9.71
P001,2019-02-13,35.0,12.57,13.93,12.57
P001,2019-02-14,0.0,12.57,13.93,12.57
P001,2019-02-15,10.0,14.0,13.63,14.0
P001,2019-02-16,0.0,14.0,13.63,14.0
P001,2019-02-17,58.0,18.86,15.57,18.86
P001,2019-02-18,10.0,20.29,13.9,20.29
P001,2019-02-19,25.0,19.71,14.73,19.71
P001,2019-02-20,24.0,18.14,14.17,18.14
P001,2019-02-21,1.0,18.29,14.07,18.29
P001,2019-02-22,32.0,21.43,14.93,21.43
P001,2019-02-23,12.0,23.14,14.13,23.14
P001,2019-02-24,0.0,14.86,13.73,14.86
P001,2019-02-25,40.0,19.14,14.9,19.14
P001,2019-02-26,40.0,21.29,15.53,21.29
P001,2019-02-27,9.0,19.14,15.6,19.14
P001,2019-02-28,40.0,24.71,16.27,24.71
P001,2019-03-01,8.0,21.29,15.57,21.29
P001,2019-03-02,14.0,21.57,15.03,21.57
P001,2019-03-03,25.0,25.14,15.27,25.14
P001,2019-03-04,15.0,21.57,15.77,21.57
