product_id,reorder_level,safety_stock,lead_time_days,criticality_level,7_day_avg_demand,30_day_avg_demand,next_day_forecast,average_daily_demand,lead_time_demand,optimised_reorder_point,reorder_point_difference,reorder_recommendation
P001,15,10,21,High,27.0,23.83,27.0,27.0,567.0,577.0,562.0,Increase Reorder Level
P002,80,40,7,Medium,25.0,23.67,25.0,25.0,175.0,215.0,135.0,Increase Reorder Level
P003,60,30,7,Medium,18.86,18.63,18.86,18.86,132.02,162.02,102.02,Increase Reorder Level
P004,8,4,30,High,24.43,24.7,24.43,24.43,732.9,736.9,728.9,Increase Reorder Level
P005,30,15,18,High,18.43,21.13,18.43,18.43,331.74,346.74,316.74,Increase Reorder Level
P006,12,6,20,High,15.14,17.57,15.14,15.14,302.8,308.8,296.8,Increase Reorder Level
P007,70,35,10,Medium,17.43,19.9,17.43,17.43,174.3,209.3,139.3,Increase Reorder Level
P008,120,60,12,Low,16.57,24.67,16.57,16.57,198.84,258.84,138.84,Increase Reorder Level
P009,10,5,22,High,23.29,16.33,23.29,23.29,512.38,517.38,507.38,Increase Reorder Level
P010,6,3,28,High,11.14,13.77,11.14,11.14,311.92,314.92,308.92,Increase Reorder Level
P011,10,5,24,High,20.14,21.0,20.14,20.14,483.36,488.36,478.36,Increase Reorder Level
P012,40,20,10,Medium,17.86,18.47,17.86,17.86,178.6,198.6,158.6,Increase Reorder Level
P013,80,40,9,Medium,36.86,23.27,36.86,36.86,331.74,371.74,291.74,Increase Reorder Level
P014,4,2,35,High,28.43,19.6,28.43,28.43,995.05,997.05,993.05,Increase Reorder Level
P015,3,2,40,High,12.29,21.1,12.29,12.29,491.6,493.6,490.6,Increase Reorder Level
P016,20,10,16,Medium,16.43,15.23,16.43,16.43,262.88,272.88,252.88,Increase Reorder Level
P017,50,25,5,Medium,12.86,15.37,12.86,12.86,64.3,89.3,39.3,Increase Reorder Level
P018,12,6,20,High,18.43,16.17,18.43,18.43,368.6,374.6,362.6,Increase Reorder Level
P019,6,3,24,High,22.57,20.9,22.57,22.57,541.68,544.68,538.68,Increase Reorder Level
P020,90,45,8,Medium,29.57,17.03,29.57,29.57,236.56,281.56,191.56,Increase Reorder Level
P021,5,3,26,High,25.86,16.97,25.86,25.86,672.36,675.36,670.36,Increase Reorder Level
P022,10,5,18,High,15.57,14.57,15.57,15.57,280.26,285.26,275.26,Increase Reorder Level
P023,6,3,20,High,12.0,14.8,12.0,12.0,240.0,243.0,237.0,Increase Reorder Level
P024,8,4,22,High,10.57,15.67,10.57,10.57,232.54,236.54,228.54,Increase Reorder Level
P025,12,6,14,Medium,21.29,19.83,21.29,21.29,298.06,304.06,292.06,Increase Reorder Level
P026,200,100,4,Low,21.0,22.57,21.0,21.0,84.0,184.0,-16.0,Decrease Reorder Level
P027,150,80,5,Low,23.29,21.53,23.29,23.29,116.45,196.45,46.45,Increase Reorder Level
P028,40,20,9,Medium,20.43,22.4,20.43,20.43,183.87,203.87,163.87,Increase Reorder Level
P029,25,12,8,Medium,26.0,20.43,26.0,26.0,208.0,220.0,195.0,Increase Reorder Level
P030,10,5,18,High,24.0,16.2,24.0,24.0,432.0,437.0,427.0,Increase Reorder Level
