product_id,safety_stock,lead_time_days,criticality_level,average_demand,demand_std,service_factor,recommended_safety_stock,safety_stock_difference,safety_stock_recommendation
P001,10,21,High,20.706660583941606,18.520300859656963,2.33,197.75,187.75,Increase Safety Stock
P002,40,7,Medium,20.68521897810219,18.086293494424165,1.65,78.96,38.959999999999994,Increase Safety Stock
P003,30,7,Medium,20.85075308078503,18.33979375076879,1.65,80.06,50.06,Increase Safety Stock
P004,4,30,High,20.791514598540147,18.240691619267537,2.33,232.79,228.79,Increase Safety Stock
P005,15,18,High,20.541058394160583,18.330505767457474,2.33,181.2,166.2,Increase Safety Stock
P006,6,20,High,21.318886861313867,19.022508204390377,2.33,198.22,192.22,Increase Safety Stock
P007,35,10,Medium,21.208580556823367,18.408501097096295,1.65,96.05,61.05,Increase Safety Stock
P008,60,12,Low,20.710178000912826,18.129379811309892,1.28,80.39,20.39,Increase Safety Stock
P009,5,22,High,20.513920584208122,18.649045728547897,2.33,203.81,198.81,Increase Safety Stock
P010,3,28,High,21.425182481751825,18.799085816443466,2.33,231.78,228.78,Increase Safety Stock
P011,5,24,High,21.274303970789592,18.180954248978527,2.33,207.53,202.53,Increase Safety Stock
P012,20,10,Medium,20.972627737226276,18.642892560527823,1.65,97.27,77.27,Increase Safety Stock
P013,40,9,Medium,20.119123687813783,18.335731375554,1.65,90.76,50.760000000000005,Increase Safety Stock
P014,2,35,High,20.554541305340027,18.65572778368129,2.33,257.16,255.16000000000003,Increase Safety Stock
P015,2,40,High,20.630474452554743,17.975675591340526,2.33,264.89,262.89,Increase Safety Stock
P016,10,16,Medium,21.125,18.320287393184433,1.65,120.91,110.91,Increase Safety Stock
P017,25,5,Medium,20.79288321167883,18.765311338219554,1.65,69.23,44.230000000000004,Increase Safety Stock
P018,6,20,High,20.541514598540147,18.691448633480576,2.33,194.77,188.77,Increase Safety Stock
P019,3,24,High,20.972171532846716,18.486469850471916,2.33,211.02,208.02,Increase Safety Stock
P020,45,8,Medium,20.684306569343065,18.76158446510456,1.65,87.56,42.56,Increase Safety Stock
P021,3,26,High,21.151459854014597,18.99799066134704,2.33,225.71,222.71,Increase Safety Stock
P022,5,18,High,20.902828467153284,18.123395472988353,2.33,179.16,174.16,Increase Safety Stock
P023,3,20,High,20.281606572341396,18.75695607643637,2.33,195.45,192.45,Increase Safety Stock
P024,4,22,High,20.083029197080293,17.680140050555913,2.33,193.22,189.22,Increase Safety Stock
P025,6,14,Medium,20.802007299270073,17.929524683990667,1.65,110.69,104.69,Increase Safety Stock
P026,100,4,Low,20.467366499315382,18.34212429380667,1.28,46.96,-53.04,Decrease Safety Stock
P027,80,5,Low,20.838503649635037,18.165359803798207,1.28,51.99,-28.009999999999998,Decrease Safety Stock
P028,20,9,Medium,21.06021897810219,18.69896585633156,1.65,92.56,72.56,Increase Safety Stock
P029,12,8,Medium,21.471715328467152,19.114684822898884,1.65,89.21,77.21,Increase Safety Stock
P030,5,18,High,20.938412408759124,18.772250581913998,2.33,185.57,180.57,Increase Safety Stock
