product_id,branch_id,current_stock,lead_time_days,safety_stock,max_stock_level,7_day_avg_demand,30_day_avg_demand,next_day_forecast,base_daily_demand,base_30_day_forecast,base_60_day_forecast,high_demand_30_day_forecast,high_demand_60_day_forecast,low_demand_30_day_forecast,low_demand_60_day_forecast,base_stock_after_30_days,high_demand_stock_after_30_days,low_demand_stock_after_30_days,scenario_stock_status
P001,DEL001,115928,21,10,40,27.0,23.83,27.0,27.0,810.0,1620.0,972.0,1944.0,648.0,1296.0,115118.0,114956.0,115280.0,Potential Overstock
P001,PUN001,109389,21,10,40,27.0,23.83,27.0,27.0,810.0,1620.0,972.0,1944.0,648.0,1296.0,108579.0,108417.0,108741.0,Potential Overstock
P001,CHN001,99373,21,10,40,27.0,23.83,27.0,27.0,810.0,1620.0,972.0,1944.0,648.0,1296.0,98563.0,98401.0,98725.0,Potential Overstock
P001,HYD001,108772,21,10,40,27.0,23.83,27.0,27.0,810.0,1620.0,972.0,1944.0,648.0,1296.0,107962.0,107800.0,108124.0,Potential Overstock
P001,KOL001,103808,21,10,40,27.0,23.83,27.0,27.0,810.0,1620.0,972.0,1944.0,648.0,1296.0,102998.0,102836.0,103160.0,Potential Overstock
P001,AHM001,106714,21,10,40,27.0,23.83,27.0,27.0,810.0,1620.0,972.0,1944.0,648.0,1296.0,105904.0,105742.0,106066.0,Potential Overstock
P002,DEL001,108628,7,40,200,25.0,23.67,25.0,25.0,750.0,1500.0,900.0,1800.0,600.0,1200.0,107878.0,107728.0,108028.0,Potential Overstock
P002,PUN001,101623,7,40,200,25.0,23.67,25.0,25.0,750.0,1500.0,900.0,1800.0,600.0,1200.0,100873.0,100723.0,101023.0,Potential Overstock
P002,CHN001,105885,7,40,200,25.0,23.67,25.0,25.0,750.0,1500.0,900.0,1800.0,600.0,1200.0,105135.0,104985.0,105285.0,Potential Overstock
P002,HYD001,121013,7,40,200,25.0,23.67,25.0,25.0,750.0,1500.0,900.0,1800.0,600.0,1200.0,120263.0,120113.0,120413.0,Potential Overstock
P002,KOL001,107584,7,40,200,25.0,23.67,25.0,25.0,750.0,1500.0,900.0,1800.0,600.0,1200.0,106834.0,106684.0,106984.0,Potential Overstock
P002,AHM001,110279,7,40,200,25.0,23.67,25.0,25.0,750.0,1500.0,900.0,1800.0,600.0,1200.0,109529.0,109379.0,109679.0,Potential Overstock
P003,DEL001,104884,7,30,150,18.86,18.63,18.86,18.86,565.8,1131.6,678.96,1357.92,452.64,905.28,104318.2,104205.04,104431.36,Potential Overstock
P003,PUN001,118139,7,30,150,18.86,18.63,18.86,18.86,565.8,1131.6,678.96,1357.92,452.64,905.28,117573.2,117460.04,117686.36,Potential Overstock
P003,CHN001,107840,7,30,150,18.86,18.63,18.86,18.86,565.8,1131.6,678.96,1357.92,452.64,905.28,107274.2,107161.04,107387.36,Potential Overstock
P003,HYD001,106658,7,30,150,18.86,18.63,18.86,18.86,565.8,1131.6,678.96,1357.92,452.64,905.28,106092.2,105979.04,106205.36,Potential Overstock
P003,KOL001,110093,7,30,150,18.86,18.63,18.86,18.86,565.8,1131.6,678.96,1357.92,452.64,905.28,109527.2,109414.04,109640.36,Potential Overstock
P003,AHM001,102501,7,30,150,18.86,18.63,18.86,18.86,565.8,1131.6,678.96,1357.92,452.64,905.28,101935.2,101822.04,102048.36,Potential Overstock
P004,DEL001,110145,30,4,20,24.43,24.7,24.43,24.43,732.9,1465.8,879.48,1758.96,586.32,1172.64,109412.1,109265.52,109558.68,Potential Overstock
P004,PUN001,104859,30,4,20,24.43,24.7,24.43,24.43,732.9,1465.8,879.48,1758.96,586.32,1172.64,104126.1,103979.52,104272.68,Potential Overstock
P004,CHN001,103984,30,4,20,24.43,24.7,24.43,24.43,732.9,1465.8,879.48,1758.96,586.32,1172.64,103251.1,103104.52,103397.68,Potential Overstock
P004,HYD001,109943,30,4,20,24.43,24.7,24.43,24.43,732.9,1465.8,879.48,1758.96,586.32,1172.64,109210.1,109063.52,109356.68,Potential Overstock
P004,KOL001,110042,30,4,20,24.43,24.7,24.43,24.43,732.9,1465.8,879.48,1758.96,586.32,1172.64,109309.1,109162.52,109455.68,Potential Overstock
P004,AHM001,99909,30,4,20,24.43,24.7,24.43,24.43,732.9,1465.8,879.48,1758.96,586.32,1172.64,99176.1,99029.52,99322.68,Potential Overstock
P005,DEL001,110862,18,15,80,18.43,21.13,18.43,18.43,552.9,1105.8,663.48,1326.96,442.32,884.64,110309.1,110198.52,110419.68,Potential Overstock
P005,PUN001,108488,18,15,80,18.43,21.13,18.43,18.43,552.9,1105.8,663.48,1326.96,442.32,884.64,107935.1,107824.52,108045.68,Potential Overstock
P005,CHN001,114267,18,15,80,18.43,21.13,18.43,18.43,552.9,1105.8,663.48,1326.96,442.32,884.64,113714.1,113603.52,113824.68,Potential Overstock
P005,HYD001,112865,18,15,80,18.43,21.13,18.43,18.43,552.9,1105.8,663.48,1326.96,442.32,884.64,112312.1,112201.52,112422.68,Potential Overstock
P005,KOL001,104202,18,15,80,18.43,21.13,18.43,18.43,552.9,1105.8,663.48,1326.96,442.32,884.64,103649.1,103538.52,103759.68,Potential Overstock
P005,AHM001,108136,18,15,80,18.43,21.13,18.43,18.43,552.9,1105.8,663.48,1326.96,442.32,884.64,107583.1,107472.52,107693.68,Potential Overstock
P006,DEL001,99358,20,6,30,15.14,17.57,15.14,15.14,454.2,908.4,545.04,1090.08,363.36,726.72,98903.8,98812.96,98994.64,Potential Overstock
P006,PUN001,111016,20,6,30,15.14,17.57,15.14,15.14,454.2,908.4,545.04,1090.08,363.36,726.72,110561.8,110470.96,110652.64,Potential Overstock
P006,CHN001,110681,20,6,30,15.14,17.57,15.14,15.14,454.2,908.4,545.04,1090.08,363.36,726.72,110226.8,110135.96,110317.64,Potential Overstock
P006,HYD001,109564,20,6,30,15.14,17.57,15.14,15.14,454.2,908.4,545.04,1090.08,363.36,726.72,109109.8,109018.96,109200.64,Potential Overstock
P006,KOL001,109176,20,6,30,15.14,17.57,15.14,15.14,454.2,908.4,545.04,1090.08,363.36,726.72,108721.8,108630.96,108812.64,Potential Overstock
P006,AHM001,107359,20,6,30,15.14,17.57,15.14,15.14,454.2,908.4,545.04,1090.08,363.36,726.72,106904.8,106813.96,106995.64,Potential Overstock
P007,DEL001,119439,10,35,200,17.43,19.9,17.43,17.43,522.9,1045.8,627.48,1254.96,418.32,836.64,118916.1,118811.52,119020.68,Potential Overstock
P007,PUN001,110464,10,35,200,17.43,19.9,17.43,17.43,522.9,1045.8,627.48,1254.96,418.32,836.64,109941.1,109836.52,110045.68,Potential Overstock
P007,CHN001,108692,10,35,200,17.43,19.9,17.43,17.43,522.9,1045.8,627.48,1254.96,418.32,836.64,108169.1,108064.52,108273.68,Potential Overstock
P007,HYD001,112543,10,35,200,17.43,19.9,17.43,17.43,522.9,1045.8,627.48,1254.96,418.32,836.64,112020.1,111915.52,112124.68,Potential Overstock
P007,KOL001,99463,10,35,200,17.43,19.9,17.43,17.43,522.9,1045.8,627.48,1254.96,418.32,836.64,98940.1,98835.52,99044.68,Potential Overstock
P007,AHM001,106222,10,35,200,17.43,19.9,17.43,17.43,522.9,1045.8,627.48,1254.96,418.32,836.64,105699.1,105594.52,105803.68,Potential Overstock
P008,DEL001,106667,12,60,300,16.57,24.67,16.57,16.57,497.1,994.2,596.52,1193.04,397.68,795.36,106169.9,106070.48,106269.32,Potential Overstock
P008,PUN001,99151,12,60,300,16.57,24.67,16.57,16.57,497.1,994.2,596.52,1193.04,397.68,795.36,98653.9,98554.48,98753.32,Potential Overstock
P008,CHN001,108381,12,60,300,16.57,24.67,16.57,16.57,497.1,994.2,596.52,1193.04,397.68,795.36,107883.9,107784.48,107983.32,Potential Overstock
P008,HYD001,101753,12,60,300,16.57,24.67,16.57,16.57,497.1,994.2,596.52,1193.04,397.68,795.36,101255.9,101156.48,101355.32,Potential Overstock
P008,KOL001,99461,12,60,300,16.57,24.67,16.57,16.57,497.1,994.2,596.52,1193.04,397.68,795.36,98963.9,98864.48,99063.32,Potential Overstock
P008,AHM001,109281,12,60,300,16.57,24.67,16.57,16.57,497.1,994.2,596.52,1193.04,397.68,795.36,108783.9,108684.48,108883.32,Potential Overstock
P009,DEL001,102816,22,5,25,23.29,16.33,23.29,23.29,698.7,1397.4,838.44,1676.88,558.96,1117.92,102117.3,101977.56,102257.04,Potential Overstock
P009,PUN001,111320,22,5,25,23.29,16.33,23.29,23.29,698.7,1397.4,838.44,1676.88,558.96,1117.92,110621.3,110481.56,110761.04,Potential Overstock
P009,CHN001,111456,22,5,25,23.29,16.33,23.29,23.29,698.7,1397.4,838.44,1676.88,558.96,1117.92,110757.3,110617.56,110897.04,Potential Overstock
P009,HYD001,100071,22,5,25,23.29,16.33,23.29,23.29,698.7,1397.4,838.44,1676.88,558.96,1117.92,99372.3,99232.56,99512.04,Potential Overstock
P009,KOL001,110547,22,5,25,23.29,16.33,23.29,23.29,698.7,1397.4,838.44,1676.88,558.96,1117.92,109848.3,109708.56,109988.04,Potential Overstock
P009,AHM001,95731,22,5,25,23.29,16.33,23.29,23.29,698.7,1397.4,838.44,1676.88,558.96,1117.92,95032.3,94892.56,95172.04,Potential Overstock
P010,DEL001,106895,28,3,15,11.14,13.77,11.14,11.14,334.2,668.4,401.04,802.08,267.36,534.72,106560.8,106493.96,106627.64,Potential Overstock
P010,PUN001,114565,28,3,15,11.14,13.77,11.14,11.14,334.2,668.4,401.04,802.08,267.36,534.72,114230.8,114163.96,114297.64,Potential Overstock
P010,CHN001,113425,28,3,15,11.14,13.77,11.14,11.14,334.2,668.4,401.04,802.08,267.36,534.72,113090.8,113023.96,113157.64,Potential Overstock
P010,HYD001,110225,28,3,15,11.14,13.77,11.14,11.14,334.2,668.4,401.04,802.08,267.36,534.72,109890.8,109823.96,109957.64,Potential Overstock
P010,KOL001,100989,28,3,15,11.14,13.77,11.14,11.14,334.2,668.4,401.04,802.08,267.36,534.72,100654.8,100587.96,100721.64,Potential Overstock
P010,AHM001,115149,28,3,15,11.14,13.77,11.14,11.14,334.2,668.4,401.04,802.08,267.36,534.72,114814.8,114747.96,114881.64,Potential Overstock
P011,DEL001,112300,24,5,25,20.14,21.0,20.14,20.14,604.2,1208.4,725.04,1450.08,483.36,966.72,111695.8,111574.96,111816.64,Potential Overstock
P011,PUN001,108691,24,5,25,20.14,21.0,20.14,20.14,604.2,1208.4,725.04,1450.08,483.36,966.72,108086.8,107965.96,108207.64,Potential Overstock
P011,CHN001,110667,24,5,25,20.14,21.0,20.14,20.14,604.2,1208.4,725.04,1450.08,483.36,966.72,110062.8,109941.96,110183.64,Potential Overstock
P011,HYD001,107771,24,5,25,20.14,21.0,20.14,20.14,604.2,1208.4,725.04,1450.08,483.36,966.72,107166.8,107045.96,107287.64,Potential Overstock
P011,KOL001,109669,24,5,25,20.14,21.0,20.14,20.14,604.2,1208.4,725.04,1450.08,483.36,966.72,109064.8,108943.96,109185.64,Potential Overstock
P011,AHM001,101291,24,5,25,20.14,21.0,20.14,20.14,604.2,1208.4,725.04,1450.08,483.36,966.72,100686.8,100565.96,100807.64,Potential Overstock
P012,DEL001,119923,10,20,120,17.86,18.47,17.86,17.86,535.8,1071.6,642.96,1285.92,428.64,857.28,119387.2,119280.04,119494.36,Potential Overstock
P012,PUN001,112603,10,20,120,17.86,18.47,17.86,17.86,535.8,1071.6,642.96,1285.92,428.64,857.28,112067.2,111960.04,112174.36,Potential Overstock
P012,CHN001,107886,10,20,120,17.86,18.47,17.86,17.86,535.8,1071.6,642.96,1285.92,428.64,857.28,107350.2,107243.04,107457.36,Potential Overstock
P012,HYD001,106209,10,20,120,17.86,18.47,17.86,17.86,535.8,1071.6,642.96,1285.92,428.64,857.28,105673.2,105566.04,105780.36,Potential Overstock
P012,KOL001,109625,10,20,120,17.86,18.47,17.86,17.86,535.8,1071.6,642.96,1285.92,428.64,857.28,109089.2,108982.04,109196.36,Potential Overstock
P012,AHM001,106861,10,20,120,17.86,18.47,17.86,17.86,535.8,1071.6,642.96,1285.92,428.64,857.28,106325.2,106218.04,106432.36,Potential Overstock
P013,DEL001,108520,9,40,200,36.86,23.27,36.86,36.86,1105.8,2211.6,1326.96,2653.92,884.64,1769.28,107414.2,107193.04,107635.36,Potential Overstock
P013,PUN001,104221,9,40,200,36.86,23.27,36.86,36.86,1105.8,2211.6,1326.96,2653.92,884.64,1769.28,103115.2,102894.04,103336.36,Potential Overstock
P013,CHN001,106476,9,40,200,36.86,23.27,36.86,36.86,1105.8,2211.6,1326.96,2653.92,884.64,1769.28,105370.2,105149.04,105591.36,Potential Overstock
P013,HYD001,111295,9,40,200,36.86,23.27,36.86,36.86,1105.8,2211.6,1326.96,2653.92,884.64,1769.28,110189.2,109968.04,110410.36,Potential Overstock
P013,KOL001,105381,9,40,200,36.86,23.27,36.86,36.86,1105.8,2211.6,1326.96,2653.92,884.64,1769.28,104275.2,104054.04,104496.36,Potential Overstock
P013,AHM001,98687,9,40,200,36.86,23.27,36.86,36.86,1105.8,2211.6,1326.96,2653.92,884.64,1769.28,97581.2,97360.04,97802.36,Potential Overstock
